title,description,NER
Elderly woman dies after falling off a moving bus,"An elderly passenger was killed after she fell off a moving bus on Monday in Thakurgaon’s Haripur, UNB reports. The deceased was identified as Mukseda, 60, wife of one Lokman Hossain of Jhaborgachi village under Haripur Upazila in Thakurgaon. The accident took place on Wednesday at around 11:00am when the 60-year- old woman fell off a Haripur-bound mini bus that left from Thakurgaon, confirmed the officer in charge (OC) of Haripur Police Station and UP chairman Pavel Taluqdar. Other passengers from the vehicle and bus driver rescued the woman and rushed her to Haripur Upazila Hospital for treatment. The woman succumbed to her injuries as the hospital physicians declared her dead. The OC said the woman fell off her seat next to the gate as the driver of the minibus pulled the break to save a goat.","[('Monday', 'DATE'), ('Thakurgaon', 'GPE'), ('Haripur', 'GPE'), ('UNB', 'ORG'), ('Mukseda', 'PERSON'), ('60', 'DATE'), ('one', 'CARDINAL'), ('Lokman Hossain', 'PERSON'), ('Jhaborgachi', 'GPE'), ('Haripur Upazila', 'GPE'), ('Thakurgaon', 'GPE'), ('Wednesday', 'DATE'), ('around 11:00am when the 60-year- old', 'TIME'), ('Haripur', 'GPE'), ('Thakurgaon', 'GPE'), ('Haripur Police Station', 'ORG'), ('UP', 'GPE'), ('Pavel Taluqdar', 'PERSON'), ('Haripur Upazila Hospital', 'ORG')]"
"Two killed, 22 injured as bus catches fire in Cumilla","Two people were killed and 22 others injured as a running bus caught fire in Cumilla’s Daudkandi on Thursday evening. The fire broke out at a bus of Matlab Paribahan while it was crossing Cumilla’s Gouripur Bus Stand area at around 6:00pm. The bus was heading towards Chandpur’s Matlab from Dhaka. Daudkandi highway police’s habildar Ashraful Alam confirmed the death of two. He said 15 injured passengers of the bus were sent to Dhaka. Two more passengers were admitted to Daudkandi upazila health complex. Five were given primary treatment. It’s suspected the fire originated from the gas cylinder of the bus. Daudkandi fire service officials rushed to the spot and brought the blaze under control. Mohammad Jamal Uddin, residential medical officer of the Daudkandi upazila health complex, said the injured persons are in critical condition. The accident has created about seven kilometre long tailback in Dhaka-Chattogram highway. Daudkandi highway police station’s officer-in-charge Jahirul Haque said the bodies are kept under the police’s supervision. The authorities are trying to normalise the vehicular movement on the highway, he added.","[('Two', 'CARDINAL'), ('22', 'CARDINAL'), ('Cumilla', 'GPE'), ('Daudkandi', 'GPE'), ('Thursday', 'DATE'), ('evening', 'TIME'), ('Matlab Paribahan', 'ORG'), ('Cumilla', 'GPE'), ('Gouripur Bus Stand', 'FAC'), ('around 6:00pm.', 'TIME'), ('Chandpur', 'GPE'), ('Matlab', 'GPE'), ('Dhaka', 'GPE'), ('Daudkandi', 'GPE'), ('Ashraful Alam', 'PERSON'), ('two', 'CARDINAL'), ('15', 'CARDINAL'), ('Dhaka', 'GPE'), ('Two', 'CARDINAL'), ('Daudkandi', 'GPE'), ('Five', 'CARDINAL'), ('Daudkandi', 'GPE'), ('Mohammad Jamal Uddin', 'PERSON'), ('Daudkandi', 'GPE'), ('about seven kilometre', 'QUANTITY'), ('Dhaka-Chattogram', 'FAC'), ('Daudkandi', 'GPE'), ('Jahirul Haque', 'PERSON')]"
Road accident kills college student,"A college student was killed as a truck hit his motorbike in Nandigram upazila of Bogura on Sunday night. The deceased identified as Noor Islam Roky, 22, son of Abdus Salam of Shashiagar village of the upazila. He was a student of Bogura Government Azizul Haque College. Shahid Ziaur Rahman Medical College police outpost’s sub-inspector Abdul Aziz said that the victim, critically injured in the accident, was rushed to the hospital at 10:30pm where the doctor pronounced him dead. The body has been handed over to the victim’s family.","[('Nandigram', 'GPE'), ('Bogura', 'GPE'), ('Sunday', 'DATE'), ('night', 'TIME'), ('Noor Islam Roky', 'PERSON'), ('22', 'DATE'), ('Abdus Salam', 'PERSON'), ('Shashiagar', 'GPE'), ('Bogura Government Azizul Haque College', 'ORG'), ('Shahid Ziaur Rahman Medical College', 'ORG'), ('Abdul Aziz', 'PERSON'), ('10:30pm where the doctor', 'TIME')]"
Journalist killed in Barguna road accident,"Road accident claimed a local journalist’s life in Barguna’s Patharghata upazila on Sunday afternoon, reports BSS. KM Mustafizur Rahman Jitu, Patharghata correspondent of Dhaka Pratidin was killed when his motorcycle was hit by a pickup van in Patharghata. Officer-in-charge of Patharghata police station Syed Ahmed said the accident occurred this noon in Bienchotki area. “Journalist Zitu died on the spot and we are trying to arrest the driver of the pickup van” the OC added.","[('Barguna', 'GPE'), ('Patharghata', 'GPE'), ('Sunday', 'DATE'), ('afternoon', 'TIME'), ('BSS', 'ORG'), ('KM Mustafizur Rahman Jitu', 'PERSON'), ('Patharghata', 'GPE'), ('Dhaka', 'GPE'), ('Patharghata', 'GPE'), ('Patharghata', 'GPE'), ('Syed Ahmed', 'PERSON'), ('this noon', 'TIME'), ('Bienchotki', 'GPE'), ('Zitu', 'PERSON')]"
"3 killed, 25 injured in Gopalganj road accident","At least 3 people were killed and 25 more injured at a road accident in Tungipara upazila of Gopalganj on Saturday morning. The accident occurred in Khaleker Bazar area as a bus of Dola Paribahan fell into a roadside ditch while trying to overtake another vehicle. Monirul Islam, officer in charge of Gopalganj sadar police station, confirmed the news of deaths of three people. He said the Dhaka-bound bus from Tungipara lost control at around 11:15am. One of the victims died on the spot while two others died on the way to hospital, the OC added.","[('At least 3', 'CARDINAL'), ('25', 'CARDINAL'), ('Tungipara', 'GPE'), ('Gopalganj', 'GPE'), ('Saturday', 'DATE'), ('morning', 'TIME'), ('Khaleker Bazar', 'LOC'), ('Dola Paribahan', 'ORG'), ('Monirul Islam', 'PERSON'), ('Gopalganj', 'GPE'), ('three', 'CARDINAL'), ('Dhaka', 'GPE'), ('Tungipara', 'GPE'), ('around 11:15am.', 'TIME'), ('One', 'CARDINAL'), ('two', 'CARDINAL')]"
Mymensingh road accident kills 2," Two passengers of a human hauler (locally known as Mahendra) were killed and four others injured in a road accident in Mymensingh city’s Shikarikanda area on the Dhaka-Mymensingh highway this morning, reports BSS. The deceased were identified as Polash Miah, 30, son of late Elahi Miah of Sonakhali village and Chameli Akter, 25, wife of Moti Miah of Ponghagra in Mymensingh sadar upazila. Quoting locals, sub-inspector (SI) of Kotwali police station Md Mehdi Hasan said the accident occurred when a Mymensingh-bound human hauler knocked a covered van from behind in the area around 10:00am, leaving the duo dead on the spot and injuring four others. Of the injured, Somrat, Kahinoor and Rafi were admitted at Mymensingh Medical College Hospital (MMCH) while another injured went to home after taking first aid at the hospital, the SI added. Police recovered the bodies and sent them to MMCH morgue for autopsy. The police team also seized the human hauler and a case was lodged in this connection.","[('Two', 'CARDINAL'), ('four', 'CARDINAL'), ('Mymensingh city’s', 'GPE'), ('Shikarikanda area', 'LOC'), ('Dhaka', 'GPE'), ('this morning', 'TIME'), ('BSS', 'ORG'), ('Polash Miah', 'PERSON'), ('30', 'DATE'), ('Elahi Miah', 'PERSON'), ('Sonakhali', 'GPE'), ('Chameli Akter', 'PERSON'), ('25', 'DATE'), ('Moti Miah', 'PERSON'), ('Ponghagra', 'GPE'), ('Mymensingh', 'GPE'), ('Kotwali', 'GPE'), ('Md Mehdi Hasan', 'PERSON'), ('Mymensingh', 'GPE'), ('around 10:00am,', 'TIME'), ('four', 'CARDINAL'), ('Somrat', 'PERSON'), ('Kahinoor', 'PERSON'), ('Rafi', 'PERSON'), ('Mymensingh Medical College Hospital', 'ORG'), ('MMCH', 'ORG'), ('first', 'ORDINAL'), ('MMCH', 'ORG')]"
Road accident kills two in Sirajganj,"Two persons were killed in a road accident at Khalkula under Tarash upazila of Sirajganj on Monday morning, reports BSS. The deceased were identified as truck driver Jamiul Hossen, 43, son of Lal Chad of Motihar village of Bhaga upazila under Rajshahi district and Aiyub Ali, 28, son of Yousuf Ali from Char Mohiuddin village of Charjabbar upazila under Noakhali. An Ishwardi bound cargo coming from Chattogram colluded head on at Khalkula area on Hatikumrul-Bonpara highway with another Dhaka bound potato loaded truck coming from opposite side leaving two drivers dead on the spot, said Nurunnabi Prodhan, officer in charge (OC) of Hatikumrul Highway police station. Police have recovered their bodies from the spot.","[('Two', 'CARDINAL'), ('Khalkula', 'GPE'), ('Tarash upazila', 'LOC'), ('Sirajganj', 'GPE'), ('Monday', 'DATE'), ('morning', 'TIME'), ('BSS', 'ORG'), ('Jamiul Hossen', 'PERSON'), ('43', 'DATE'), ('Lal Chad', 'PERSON'), ('Motihar', 'GPE'), ('Bhaga', 'GPE'), ('Rajshahi', 'GPE'), ('Aiyub Ali', 'PERSON'), ('28', 'DATE'), ('Yousuf Ali', 'PERSON'), ('Char Mohiuddin', 'GPE'), ('Charjabbar', 'GPE'), ('Noakhali', 'GPE'), ('Ishwardi', 'GPE'), ('Chattogram', 'GPE'), ('Khalkula', 'GPE'), ('Hatikumrul', 'GPE'), ('Dhaka', 'GPE'), ('two', 'CARDINAL'), ('Nurunnabi Prodhan', 'PERSON'), ('Hatikumrul Highway', 'FAC')]"
"Mother, son among 4 killed in road accidents","Four people including a woman and her son were killed in separate road accidents in Rajshahi and Chapainawabganj districts on Thursday, reports BSS quoting police and hospital sources. The deceased were identified as Nasima Khatun, 45, and her son Masud Rana, 24, of Sultanganj Ganga Para village in Godagari upazila, Chhabi Begum, 40, of Taherpur village in Bagmara upazila and Badsha Alam, 46, of Jhilim area in Chapainawabgonj Sadar upazila. Nasima and Masud sustained severe injuries when a motorbike carrying them collided with a mini-truck in Jora Bottola area in Godagari upazila of Rajshahi around 5.30pm. The two were immediately taken to Rajshahi Medical College Hospital where they succumbed to their injuries around 9.30pm. Chhabi Begum was killed on the spot when a truck dashed her in Hatchery Mor area in Bagmara upazila of Rajshahi around 4.30pm. Russel Ahmed, in-charge of Taherpur police camp, said they detained the driver and helper of the truck and seized the truck from the spot. Meanwhile, businessman Badsha received serious injuries when a truck hit a motorbike at Haripur area in Chapainawabganj town around 5.30pm. The driver managed to flee with his vehicle, said Montu Rahman, officer-in-charge of Sadar police station. Three separate cases were recorded with the respective police stations.","[('Four', 'CARDINAL'), ('Rajshahi', 'GPE'), ('Chapainawabganj districts', 'GPE'), ('Thursday', 'DATE'), ('BSS', 'ORG'), ('Nasima Khatun', 'PERSON'), ('45', 'DATE'), ('Masud Rana', 'PERSON'), ('24', 'DATE'), ('Sultanganj Ganga Para', 'GPE'), ('Godagari', 'GPE'), ('Chhabi Begum', 'PERSON'), ('40', 'DATE'), ('Taherpur', 'GPE'), ('Bagmara', 'GPE'), ('Badsha Alam', 'PERSON'), ('46', 'DATE'), ('Jhilim', 'GPE'), ('Chapainawabgonj Sadar upazila', 'GPE'), ('Nasima', 'PERSON'), ('Masud', 'PERSON'), ('Jora Bottola', 'LOC'), ('Godagari', 'GPE'), ('Rajshahi', 'GPE'), ('around 5.30pm.', 'TIME'), ('two', 'CARDINAL'), ('Rajshahi Medical College Hospital', 'ORG'), ('around 9.30pm.', 'TIME'), ('Chhabi Begum', 'PERSON'), ('Hatchery Mor', 'LOC'), ('Bagmara upazila', 'LOC'), ('Rajshahi', 'GPE'), ('around 4.30pm.', 'TIME'), ('Russel Ahmed', 'PERSON'), ('Taherpur', 'GPE'), ('Badsha', 'PERSON'), ('Haripur', 'GPE'), ('Chapainawabganj', 'GPE'), ('around 5.30pm.', 'TIME'), ('Montu Rahman', 'PERSON'), ('Sadar', 'GPE'), ('Three', 'CARDINAL')]"
,,"[('nan', 'PERSON')]"
,,"[('nan', 'PERSON')]"
"Youth, woman killed in separate road accidents","A youth and a woman were killed in separate road crashes in two districts, reports UNB. In Kushtia, a young man was killed while his father injured critically as their motor-cycle was hit by a truck in Battail area of Kushtia town on Sunday night. The deceased is Mehedi Hasan, 25, son of Sharif Uddin. Officer-in-charge of Lushtia model police station Kamruzzaman Talukdar said the father and son were going to KNB Agro Industries while on the way a truck hit their motor-cycle killing Mehedi on the spot. Sharif Uddin is admitted to Kushtia Hospital in a critical condition, OC said. In Panchagarh, a housewife was killed while her husband and two children injured after a motorcycle collided head-on with a truck in the municipality area of Debiganj on Sunday. The deceased is Suborno Rani, 32, wife of Birenranath Roy. Officer-in-charge of Debiganj police station Hasan Sarkar said the family was going to celebrate Durga Puja in Debiganj town when their motorcycle hit a truck, killing the woman on the spot. Roy and the couple's children were also critically injured in the accident, he said.
They have been admitted to Rangpur Medical College Hospital in critical condition, he added.
Police have seized the truck but its driver managed to flee, OC said.
","[('two', 'CARDINAL'), ('UNB', 'ORG'), ('Kushtia', 'GPE'), ('Battail', 'LOC'), ('Kushtia', 'GPE'), ('Sunday', 'DATE'), ('night', 'TIME'), ('Mehedi Hasan', 'PERSON'), ('25', 'DATE'), ('Sharif Uddin', 'PERSON'), ('Lushtia', 'GPE'), ('Kamruzzaman Talukdar', 'PERSON'), ('KNB Agro Industries', 'ORG'), ('Mehedi', 'PERSON'), ('Sharif Uddin', 'PERSON'), ('Kushtia Hospital', 'ORG'), ('Panchagarh', 'GPE'), ('two', 'CARDINAL'), ('Debiganj', 'GPE'), ('Sunday', 'DATE'), ('Suborno Rani', 'PERSON'), ('32', 'DATE'), ('Birenranath Roy', 'PERSON'), ('Debiganj', 'GPE'), ('Hasan Sarkar', 'PERSON'), ('Durga Puja', 'EVENT'), ('Debiganj', 'GPE'), ('Roy', 'PERSON'), ('Rangpur Medical College Hospital', 'ORG'), ('OC', 'ORG')]"
,,"[('nan', 'PERSON')]"
Road accidents kill three in Gopalganj,"Three people were killed and three others injured in three separate road accidents in Gopalganj, reports BSS. The deceased were identified as Shahin Mollah, 30, hailed from Faridpur district, Tasfia Khanom, 3, a resident of Gopinathpur area in Sadar upazila and Khushi Begum, 50. Police said Shahin Mollah, who was the driver of a private car, was killed at Kashiani Upazila Health Complex while undergoing treatment after facing a fatal road accident. “The accident occurred when Shahin’s car hit a roadside tree in Kashiana on the Dhaka-Khulna highway around 7:00am as he lost control over the steering,” the sources said, adding that two injured passengers of the private car were admitted to Gopalganj General Hospital. Besides, Tasfia was killed as a pickup van drove into their roadside house in Gopinathpur area under Sadar upazila this noon. Her six-year-old brother was injured in the incident who was taken to Gopalganj Sadar Hospital later. However, Khushi Begum was killed when a microbus hit her at the College Mour in Muksudpur upazila last night. She was an inhabitant in Muksudpur upazila, said officer-in-charge (OC) of Muksudpur police station Abu Bakor Mia.","[('Three', 'CARDINAL'), ('three', 'CARDINAL'), ('three', 'CARDINAL'), ('Gopalganj', 'GPE'), ('BSS', 'ORG'), ('Shahin Mollah', 'PERSON'), ('30', 'DATE'), ('Faridpur', 'GPE'), ('Tasfia Khanom', 'PERSON'), ('3', 'DATE'), ('Gopinathpur', 'GPE'), ('Sadar', 'GPE'), ('Khushi Begum', 'PERSON'), ('50', 'DATE'), ('Shahin Mollah', 'PERSON'), ('Kashiani Upazila Health Complex', 'FAC'), ('Shahin', 'PERSON'), ('Kashiana', 'GPE'), ('Dhaka', 'GPE'), ('7:00am', 'TIME'), ('two', 'CARDINAL'), ('Gopalganj General Hospital', 'ORG'), ('Tasfia', 'PERSON'), ('Gopinathpur', 'GPE'), ('Sadar', 'GPE'), ('this noon', 'TIME'), ('six-year-old', 'DATE'), ('Gopalganj Sadar Hospital', 'ORG'), ('Khushi Begum', 'PERSON'), ('the College Mour', 'FAC'), ('Muksudpur', 'GPE'), ('last night', 'TIME'), ('Muksudpur', 'GPE'), ('Muksudpur', 'GPE'), ('Abu Bakor Mia', 'PERSON')]"
,,"[('nan', 'PERSON')]"
,,"[('nan', 'PERSON')]"
"Road accidents kill 37,170 in 5 years: Report","Road accidents in Bangladesh is still one of the leading causes of deaths as 37,170 people were killed in 26,902 accidents across the country in the last five years, reports UNB.  Besides, 82,758 people were injured in these accidents, according to a report released by Bangladesh Jatri Kalyan Samity (BJKS), a passenger welfare body, on Wednesday, marking the National Roads Safety Day on 22 October.  According to the report, 8,642 people were killed and 21,855 injured in 6,581 road accidents in 2015 alone.  In 2016, some 6,055 people were killed and 15,914 injured in 4,312 road accidents.   Besides, 7,397 people were killed and 16,193 injured in 4,979 accidents in 2,017 while 7,221 people were killed and 1,5466 were injured in 5514 accidents in 2018; and 7,855 people were killed and 13,330 injured in 5,516 accidents in 2019, the BJKS report said. However, the association claimed that many reports of road accidents are not published in newspapers. These figures show that the number of casualties in road accidents in Bangladesh is increasing due to reckless driving and dangerous overtaking, according to the report. BJKS says that the desired development of roads is not yet visible even after the enactment of the Road Transport Act-2018.  Traffic chaos, anarchy, random fare hike and harassment of passengers still remain the same as before. As a result, passenger suffering, traffic jams and road accidents are increasing day by day, the report added. Amid this chaotic situation on Bangladesh's roads, BJKS considers it inappropriate to observe the National Roads Safety Day. It said the road safety issue no longer be limited to just observing a particular day as there is a need for implementation of the election pledge of the government to ensure safe roads for people on an urgent basis. ","[('Bangladesh', 'GPE'), ('one', 'CARDINAL'), ('37,170', 'CARDINAL'), ('26,902', 'CARDINAL'), ('the last five years', 'DATE'), ('UNB', 'ORG'), ('82,758', 'CARDINAL'), ('Bangladesh Jatri Kalyan Samity', 'ORG'), ('BJKS', 'ORG'), ('Wednesday', 'DATE'), ('the National Roads Safety Day', 'EVENT'), ('22 October', 'DATE'), ('8,642', 'CARDINAL'), ('21,855', 'CARDINAL'), ('6,581', 'CARDINAL'), ('2015', 'DATE'), ('2016', 'DATE'), ('some 6,055', 'CARDINAL'), ('15,914', 'CARDINAL'), ('4,312', 'CARDINAL'), ('7,397', 'CARDINAL'), ('16,193', 'CARDINAL'), ('4,979', 'CARDINAL'), ('2,017', 'CARDINAL'), ('7,221', 'CARDINAL'), ('1,5466', 'CARDINAL'), ('5514', 'CARDINAL'), ('2018', 'DATE'), ('7,855', 'CARDINAL'), ('13,330', 'CARDINAL'), ('5,516', 'CARDINAL'), ('2019', 'DATE'), ('BJKS', 'ORG'), ('Bangladesh', 'GPE'), ('BJKS', 'ORG'), ('the Road Transport Act-2018.', 'LAW'), ('day', 'DATE'), ('Bangladesh', 'GPE'), ('BJKS', 'ORG'), ('the National Roads Safety Day', 'EVENT'), ('a particular day', 'DATE')]"
2 sisters killed in Chapainawabganj road accident,"Two sisters were killed after a truck ran over a motorcycle carrying them in Sonamasjid area of Shibganj upazila in Chapainawabganj on Sunday morning, reports UNB.   The deceased were identified as Masrufa Begum, 22, wife of an Rajab Ali and Khadiza, 17.   Shamsul Alam Shah, officer-in-charge of Shibganj police station, said that the accident took place around 11:00am as the truck ran over the motorcycle driven by Rajab along with his wife, sister-in-law and daughter after it overturned on road, leaving two duo dead on the spot and two others injured. According to Bangladesh Jatri Kalyan Samity, a passengers' welfare body, accidents on roads, railways and waterways in Bangladesh killed at least 553 people and injured 669 in August this year alone. ","[('Two', 'CARDINAL'), ('Sonamasjid', 'LOC'), ('Shibganj', 'GPE'), ('Chapainawabganj', 'GPE'), ('Sunday', 'DATE'), ('morning', 'TIME'), ('UNB', 'ORG'), ('Masrufa Begum', 'PERSON'), ('22', 'DATE'), ('an Rajab Ali', 'PERSON'), ('Khadiza', 'PERSON'), ('17', 'DATE'), ('Shamsul Alam Shah', 'PERSON'), ('Shibganj', 'GPE'), ('around 11:00am as the truck', 'TIME'), ('Rajab', 'PERSON'), ('two', 'CARDINAL'), ('two', 'CARDINAL'), ('Bangladesh', 'GPE'), ('Bangladesh', 'GPE'), ('at least 553', 'CARDINAL'), ('669', 'CARDINAL'), ('August this year', 'DATE')]"
Three killed in Brahmanbaria road accident,"At least three people were killed and 25 others injured as a bus fell into a roadside ditch in Islampur area of Bijoynagar upazila, Brahmanbaria on Wednesday. The identities of the deceased could not be known immediately, reports BSS. The accident occurred on the Dhaka-Sylhet highway when a Sylhet-bound bus from Dhaka lost control while trying to avoid collision with a motorbike and fell into the ditch, said Khatihata highway police station officer-in-charge Mahabubur Rahman. Three people died on the spot. The injured were sent to Madhabpur Upazila Health Complex in Habiganj district, he added.","[('At least three', 'CARDINAL'), ('25', 'CARDINAL'), ('Islampur', 'LOC'), ('Bijoynagar', 'GPE'), ('Brahmanbaria', 'GPE'), ('Wednesday', 'DATE'), ('BSS', 'ORG'), ('Dhaka', 'GPE'), ('Sylhet', 'GPE'), ('Dhaka', 'GPE'), ('Khatihata', 'GPE'), ('Mahabubur Rahman', 'PERSON'), ('Three', 'CARDINAL'), ('Madhabpur Upazila Health Complex', 'FAC'), ('Habiganj', 'GPE')]"
Intern physician killed in Sirajganj road accident,"An intern of Bangamata Sheikh Fazilatunnesa Mujib General Hospital was killed in a road accident in Sirajganj Sadar upazila on Friday, reports UNB.    The accident took place in Saidabad area of ​​Bangabandhu Bridge West Highway.    The deceased was identified as Arafat Pathan (25), son of Haris Pathan of Bandia village of Bhaluka upazila in Mymensingh.     He was doing an internship after finishing MBBS from Shaheed M Mansur Ali Medical College. Bangabandhu Bridge West police station officer-in-charge (OC) Mosaddek Ali said Arafat was travelling to Sirajganj on a motorcycle. ""He died on the spot when he was hit by a truck from behind near the Saidabad road divider,"" Mosaddek said.  Upon receiving the news, police recovered the body and sent it to 250-bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital morgue. Police seized the truck but the driver escaped, said Mosaddek. Shaheed M Mansur Ali Medical College principal Md Nazrul Islam said that after finishing his studies in March, Arafat was doing an internship at Bangamata Sheikh Fazilatunnesa Mujib General Hospital. ","[('Bangamata Sheikh Fazilatunnesa Mujib General Hospital', 'ORG'), ('Sirajganj Sadar upazila', 'GPE'), ('Friday', 'DATE'), ('UNB', 'ORG'), ('Saidabad', 'GPE'), ('\u200b\u200bBangabandhu Bridge West Highway', 'FAC'), ('Arafat Pathan', 'PERSON'), ('25', 'DATE'), ('Haris Pathan', 'PERSON'), ('Bandia', 'GPE'), ('Bhaluka upazila', 'GPE'), ('Mymensingh', 'GPE'), ('MBBS', 'WORK_OF_ART'), ('Shaheed M Mansur Ali Medical College', 'ORG'), ('Bangabandhu Bridge West', 'FAC'), ('Mosaddek Ali', 'PERSON'), ('Arafat', 'PERSON'), ('Sirajganj', 'GPE'), ('Saidabad', 'GPE'), ('Mosaddek', 'PERSON'), ('250', 'CARDINAL'), ('Bangamata Sheikh Fazilatunnesa Mujib General Hospital', 'ORG'), ('Mosaddek', 'PERSON'), ('Shaheed M Mansur Ali Medical College', 'ORG'), ('Md Nazrul Islam', 'PERSON'), ('March', 'DATE'), ('Arafat', 'PERSON'), ('Bangamata Sheikh Fazilatunnesa Mujib General Hospital', 'ORG')]"
Driver killed in Habiganj road accident,"A driver of a pickup van was killed in a road accident in Riaznagar area on the Dhaka-Sylhet Highway under Madhobpur upazila of the district this morning, reports BSS. The deceased was identified as Nurul Amin Leon, 18, hailed from Cumilla district. Besides, another was injured in the accident. Police said the accident occurred when a pickup van collided head-on with a passenger bus in the area, leaving Nurul Amin dead on the spot. Officer-in-Charge (OC) of Shaistaganj Highway Thana Towfiqul Islam confirmed the incident.","[('Riaznagar', 'GPE'), ('the Dhaka-Sylhet Highway', 'FAC'), ('Madhobpur', 'GPE'), ('this morning', 'TIME'), ('BSS', 'ORG'), ('Nurul Amin Leon', 'PERSON'), ('18', 'DATE'), ('Cumilla', 'GPE'), ('Nurul Amin', 'PERSON'), ('Shaistaganj Highway', 'FAC'), ('Thana Towfiqul Islam', 'PERSON')]"
"553 killed in accidents on roads, railways and waterways in Aug","Accidents on roads, railways and waterways killed at least 553 people and injured 669 others last month, passengers’ welfare body Bangladesh Jatri Kalyan Samity said Wednesday. Of these, 388 road accidents left 459 people dead and 618 injured, according to a monitoring cell report of the platform, reports UNB. Besides, 14 people were killed and three others injured in 15 railway accidents. During this period, 41 accidents on waterways claimed the lives of 80 people and injured 52. Thirty-one more remain missing. The platform prepared its report after reviewing media reports published in different newspapers. Md Mozammel Haque Chowdhury, general secretary of the organisation, who presented the report, blamed dilapidated road condition caused by recent flood and plying of human haulers on highways and roads for the accidents. He said motorcycles and reckless driving also put road safety at risk. Mozammel also stressed the need for modernisation of the traffic system and removing unfit vehicles for ensuring road safety. Motorcycles were responsible for 28.98 per cent of the accidents, trucks and covered vans 21.61 per cent, buses 16.12 per cent, auto-rickshaws 8.74 per cent, battery-run ruckshaws and easy bikes 9.77 percent, human hauler 7.71 per cent and jeep and microbus 7.03 per cent, according to the report.","[('at least 553', 'CARDINAL'), ('669', 'CARDINAL'), ('last month', 'DATE'), ('Bangladesh Jatri Kalyan Samity', 'ORG'), ('Wednesday', 'DATE'), ('388', 'CARDINAL'), ('459', 'CARDINAL'), ('618', 'CARDINAL'), ('UNB', 'ORG'), ('14', 'CARDINAL'), ('three', 'CARDINAL'), ('15', 'CARDINAL'), ('41', 'CARDINAL'), ('80', 'CARDINAL'), ('52', 'CARDINAL'), ('Thirty-one', 'CARDINAL'), ('Md Mozammel Haque Chowdhury', 'PERSON'), ('Mozammel', 'PERSON'), ('28.98 per', 'PERCENT'), ('21.61 per', 'PERCENT'), ('16.12 per', 'PERCENT'), ('8.74 per', 'PERCENT'), ('9.77 percent', 'PERCENT'), ('7.71 per', 'PERCENT'), ('7.03 per', 'PERCENT')]"
Four killed in Jashore road accident,"Four people, including Nazmul Islam Kajal, chairman of Jashore Bagharpara Upazila Parishad, were killed in a head-on collision between a SUV and speeding truck in Madhabpur upazila of Jashore around 4:30pm on Monday, BSS reports. Two of the deceased were identified as Ariful Islam, 35, son of Yusuf Ali Biswas of Bagharpara in Jashore and Akhi Akter, 20, daughter of Sumon Miah of Taltola area in Dhaka. The identity of the other person could not be known. A woman named Mim, 25, a resident of Dhaka, was severely injured and was taken to Madhabpur Upazila Health Complex for treatment. Madhabpur Police Station OC M Iqbal Hossain told BSS that the accident occurred when a SUV from Dhaka collided head-on with a truck coming from the opposite direction in Noapara area around 4:30pm, leaving two passengers dead on the spot. Two other victims died on way to the hospital. The bodies of the deceased were kept in Madhabpur police station for being handed over to the families. Police seized the truck, but the driver managed to flee away from the spot.","[('Four', 'CARDINAL'), ('Nazmul Islam Kajal', 'PERSON'), ('Jashore Bagharpara Upazila Parishad', 'ORG'), ('Madhabpur', 'GPE'), ('Jashore', 'GPE'), ('around 4:30pm on', 'TIME'), ('Monday', 'DATE'), ('BSS', 'ORG'), ('Two', 'CARDINAL'), ('Ariful Islam', 'PERSON'), ('35', 'DATE'), ('Yusuf Ali Biswas', 'PERSON'), ('Bagharpara', 'GPE'), ('Jashore', 'GPE'), ('Akhi Akter', 'PERSON'), ('20', 'DATE'), ('Sumon Miah', 'PERSON'), ('Taltola', 'GPE'), ('Dhaka', 'GPE'), ('Mim', 'PERSON'), ('25', 'DATE'), ('Dhaka', 'GPE'), ('Madhabpur Upazila Health Complex', 'ORG'), ('Madhabpur Police Station', 'ORG'), ('M Iqbal Hossain', 'PERSON'), ('BSS', 'ORG'), ('Dhaka', 'GPE'), ('Noapara', 'LOC'), ('around 4:30pm,', 'TIME'), ('two', 'CARDINAL'), ('Two', 'CARDINAL'), ('Madhabpur', 'GPE')]"
