,title,news
10,2 killed in Jashore road accident,"The injured passengers were taken to Avoinagor Upazila Health Complex first, but as their condition deteriorated, four of the injured were sent to Khulna Medical College Hospital.The deceased were identified as Shahidul Islam of Mosharhati village under Abhaynagar upazila and another Abdul was the coal worker of the Upazila.Abhaynagar Highway Police Station OC Mahmud Alam said, “Rupsha Paribahan, which left Khulna at around 9:30 am on Friday, collided with an Easy Bike full of passengers at Bhanga gate area. Two of the passengers were killed on the spot and five were seriously injured.  Upon receiving the news, police went to the spot and rescued 7 people including the driver of the easy bike and took them to the Upazila Health Complex,” he added.Meanwhile, Faria Rahman, a doctor at the emergency department of Abhaynagar Upazila Health Complex, said two killed on the spot five have been referred to Khulna Medical College Hospital."
11,Motorcyclist killed in Jashore road accident,"The deceased was identified as Nazrul Islam, 60, hailed from Ghiba village in Benapole port Thana of Sharsha Upazila in the district.Police and witnesses said, Nazrul was severely injured when a brick laden truck hit his motorcycle in Durgapur area of Benapole bazar. He was rushed to Sharsha upazila health complex where duty doctor declared him dead.Benapole port Thana Officer-in-Charge (OC) Mamun Khan said, “Police have already seized the truck and now trying to arrest its driver. A case has been filed in this connection.The body was sent to Jashore for autopsy.”"
12,2 killed in Cox's Bazar road accident,"The deceased were identified as Mujibur Rahman (30) from Fasiakhali union of Chakaria upazila and Enamul Haque (25) from Dulahazara union.Sirajul Islam, Sub-Inspector (SI) of Chiringa Highway Police said, “A Chittagong-bound microbus and a Cox's Bazar-bound passenger bus collided head-on in Islamnagar area around 8:30am on Saturday. The microbus was rumpled.” Some of the injured have been identified as Sunil (52), Abdul Hakim (32), Zafar (65), Tafsir (30), Shuvo (50), Abdu Rashid (22) and Osman (23). They were brought to Chakaria Hospital and Cox's Bazar Sadar Hospital. The condition of 4 of them is critical, says Chakaria hospital source."
13,Six killed in Bogura  road accidents,"At Shajahanpur, three passengers of a CNG-run autorickshaw and its driver were killed after a bus hit the three-wheeler on Dhaka-Rangpur highway in Majhira check-post area at about 5:00 am, said police and locals. The deceased were identified as driver of CNG-run autorickshaw Shah Jamal, 34, son of Jalal Uddin of Anarpur village at Dhunot upazila in Bogura,  Kalidas, 72, son of Khitish Chandra Das of Demajani village at Shajahanpur upazila in the district, Sudoy Kumar Mohosto, 40, son of Girendra Nath Mohosto of Gosaipara village at Sherpur upazila, and Md Hares, 40, son of Nadu Mandal of Sherpur town. AKM Baniul Alam, in-charge of Sherpur Highway Police Station, confirmed the matter. He said that a bus of Shawon Enterprise rammed the Bogura-bound auto-rickshaw from behind in front of the check post leaving three passengers dead on the spot and another injured. The injured passenger was declared dead after he was taken to a local hospital. Police seized the bus, but the driver and helper managed to flee the scene, said the police official. He also said that the bodies were handed over to the families of the victims. At Dupchanchia, the driver of a battery-run autorickshaw and a passenger were killed after a truck hit the autorickshaw on Bogura-Naogaon road in Tishigiri area at the upazila at about 2:30 pm. The deceased were identified as driver Rasel, 35, son of Abdul Quader of Mor village of the upazila, and Muktar Hossain, 35, son of Fazlur Rahman of Belail village of the same upazila. Officer-in-Charge (OC) of Dupchanchia Police Station Hasan Ali confirmed the matter. He said that the truck hit auto-rickshaw from behind, leaving the duo dead on the spot. The bodies were sent to hospital for autopsy. Police seized the truck, but its drive managed to flee the spot, the OC added. Meanwhile, a female banker was killed and two others were injured as a bus rammed into an auto-rickshaw at Adamdighi in Bogura on Monday. The deceased was identified as Shilpi Rani, manager of Majhira branch of Grameen Bank, 40.The injured are her husband, Dipangkar Biswas (45), also a manager of Kalai Zone branch of the same bank and the auto-rickshaw driver Zia Uddin (36) of Shibganj in the district. They were taken to hospital in critical condition.According to the police and local sources, the bank officer couple was on the way to their respective workplace getting on a CNG-run auto-rickshaw on Monday morning. The moment the vehicle got to Shibpur Fire Service Station of Dhaka-Naogaon highway, a bus heading to Dhaka hit it hard from behind.Shilpi Rani died on spot as the auto-rickshaw got rumpled. Two others got seriously injured.Jalal Uddin, Officer-in-Charge of Adamdighi Police Station said, “Body of the deceased and the vehicle have been recovered. The injured were rescued and sent to hospital for treatment. Attempts are ongoing to seize the bus.”"
14,Man killed in Chuadanga road accident,"The deceased was identified as Shipon Ali, 32, son of Idrish Ali of village Payekpara in Alamdanga  upazila of the district. Abdul Gaffar, in charge of Gholdary police camp in the upazila said, driver Shipon was going to Gholdary Bazaar with two passengers, while they reached at the village, the driver lost the control over his vehicle and turned turtle leaving serious injured. The injured driver was taken to Chuadanga sadar hospital for treatment, on duty doctor declared him dead. The body was done postmortem in the hospital. "
15,5 killed in Sirajganj road accident,"Three of the deceased are Mohammad Fazlur Rahman, 60, son of late Moksed Ali of Shajahanpur police station in Bogura, Mohammad Hannan, 60, son of Abul Hossain of Belkuchi police station in Sirajganj, and Bimal Kumar, 4, son of Dhiren of Betgari area in Bogura's Sherpur upazila. Officer-in-charge (OC) of Bangabandhu Bridge West Police Station Mohammad Mosaddek Hossain confirmed the matter. He said that the accident took place at about 8:00 am on Bangabandhu Bridge West Link highway as Mymensingh-bound bus carrying passengers from Bogura crashed collided with the truck coming from the opposite direction, leaving the five people dead on the spot and 14 others injured.The injured were taken to 250-bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital, the OC said.Mohammad Shariful Islam, a passenger of the bus, said that the truck overtook another vehicle and hit the bus.Md Shamim Hossain, a doctor at emergency department of Sirajganj 250-bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital, said two of the injured people were taken to the orthopedics department and the rest are in the medicine ward. "
16,2 killed in Khagrachhari road accident,"The deceased were identified as Harendra Tripura and Ganeshwar Tripura of Hadukpara village. Bhaibonchhara UP Chairman Parimal Tripura said that the accident took place around 11:30 pm when the victims were returning home by a human hauler. At one point, the vehicle overturned and plunged into a roadside ditch after the driver lost control over steering, leading the two passengers dead on the spot and three others injured.  Officer-in-Charge (OC) of Khagrachhari sadar police station Md Rashid said that the injured persons were admitted to Khagrachhari sadar hospital. After performing autopsy, the bodies were handed over to family members."
17,5 Bangladeshi workers killed in Oman road accident,"Five Bangladeshi workers have been killed and five others injured in a road accident in Duqm of Oman.The deceased were identified as – Omar Faruk, Minhaz, Mamun, Milad and Rubel. All of them hailed from Sandwip in Chattogram.Fakhrul Islam Ponir, Chairman of Sarikait Union in Sandwip upazila, said the accident took place around 4am (local time) on Saturday when a vehicle carrying 10 Bangladeshi workers were returning from the Arab sea after catching fish.Five people were killed on the spot and five others were injured.The injured were taken to a local hospital where the condition of two workers deteriorated.Fakhrul Islam said four of the victims are from Sarikait union while the other is from Harania Union.“Process to bring back the bodies is on,” he said.Oman is one of the most popular destinations for Bangladeshis looking to work abroad.Last year, 21,071 Bangladeshis went to Oman for work when the world was brought to its knees by the coronavirus outbreak, according to Bangladesh Manpower, Employment and Training (BMET). In 2019, the number was 72,054 or 10.38 percent of the total manpower exported that year.Bangladeshi workers in Oman sent back $1,483.19 million last year, BMET data show."
18,2 killed in Ishwardi road accident,"The deceased were identified as Abdur Rauf Joyaddar Jahangir, 56, owner of Rita Photostat shop in Pabna and son of Hakim Sheikh of Kutipara, and  Monwar Hossain Ranju, 55, son of Abul Hossain Sarkar of the same area. According to police, a tractor came to a halt in front of the sugar mill on its way from Pabna to Ishwardi's Dashuria. Work was being done on the left side of the road to move it. A microbus (Dhaka Metro Ch-19-0204) coming from Pabna towards Ishwardi came and pushed the carrying tractor hard from behind. Five people, including the driver of the microbus, were seriously injured. Police and locals rescued the five injured and rushed them to Ishwardi Upazila Health Complex. The on-duty doctors declared Jahangir and Monwar Hossain dead.Two other two injured were rushed to Pabna Hospital. Pakshi Highway Police in charge Moniruzzaman said that the tractorsand microbuses were seized and two people were arrested in this connection. "
19,2 motorcyclists killed in Manikganj road accident," The deceased were identified as Zahirul Islam, 23, son of late JasimMollah and Shah Alam, 22, son of Yunus Ali of Gala village under Harirampur upazila in Manikganj.Officer-in-Charge of Harirampur Police Station Mueed Chowdhury saidZahirul along with his friend auto driver Shah Alam were returninghome from Manikganj district town around 10 pm on Thursday. Due to fast speed, their motorcycle lost control and hit a road side tree. Both of them died on the spot.The bodies of the deceased were recovered at night and sent to themorgue of Manikganj Sadar Hospital for autopsy. A case has been filed with Harirampur police station in this regard, added the OC."
20,5 among 12 road accident victims were Master’s students,"The deceased were Sanatan Das, 25, son of Ranajit Das of Bhatpara village, REshma Khatun, 26, daughter of Abdur Rashid of Dingaidah village in Chuadanga Sadar, Harunar Rashid Sohag, 25, of Harindia village in Kotchanddpur, Mustafizur Rahman Kallol, 24, of Sundarpur of Kaliganj and Yunus Ali, 26, of Nathkundu village in Jhenaidah Sadar upazila. All of them were returning home after completing their examinations which was the last examination for themWhen the media activists visited some of the houses at Bhatpara and Nathakundu, witnessed that the family members were behaving almost abnormal and waling for hours together without any rest.Sonaton’s mother said her son was only dream and future before the poor family. They cannot find any way and means to survive in the earth any more, said the father Ranajit Das.Kallol’s brother Nasir Uddin said their dream was marred when the killer bus had snatched away the fresh lives of number of future good citizens for their carelessness. The killers should be punished at any cost, he said.Mention may be made here that a tragic bus accident near Barobazer under Kaliganj upazila on Jhenaidah-Jashore highway had killed 12 persons on Wednesday evening where nine had died on the spot."
21,"10 killed, 30 injured in Jhenaidah road accident","At least 10 people were killed and 30 others injured in a road accident at Barobazar area in Kaliganj upazila of Jhenaidah on Wednesday.Police could not immediately provide identities of the deceased.Locals said a Kushtia-bound bus overturned after colliding head-on with a truck in Barobazar area around 3pm. Ten people were killed on the spot and 30 more people were injured, police said.Kaliganj Fire Service and Civil Defence station officer Mamunur Rashid said they recovered 10 bodies from the accident site.Seven of the injured are in critical condition, he said, adding that the injured people had been sent to Kaliganj and Jashore hospitals.The accident halted vehicular movement on the Jashore-Jhenaidah road for about 90 minutes.At least 484 people were killed and 673 injured in 427 road accidents throughout the country in January this year.Last month, the accident rates jumped by 25.58 percent and fatalities by 8.76 percent compared to the same period last year, according to Road Safety Foundation (RSF).At least 445 lives were lost in 340 road accidents in January last year, according to RSF.Last month, 168 people were killed in 159 motorcycle accidents – 37.23 percent of total road accidents.And 53 drivers and helpers were killed during the same period – 10.95 percent of total fatalities."
22,SZMCH employee killed in road accident,"The deceased was identified as Raihanul Islam, 42, son of Safir Uddin of Sujabad area of Shajahanpur upazila. He was working as Personal Assistant (PA) to the Director of Bogra Shaheed Ziaur Rahman Medical College Hospital. Raihan was returning home on a motorcycle through Banani intersection of the town around 10:30 pm. He fell on the right side of the road while riding his motorcycle. At that moment, a ten-wheeler truck coming from the opposite direction ran over him and he died on the spot. Members of Shahjahanpur police station recovered the body and sent it to the morgue of Shaheed Ziaur Rahman Medical College Hospital for autopsy.  Maulana Mostakim Hossain, teacher of Police Lines School and College and a friend of the deceased, confirmed the matter and said that Raihan Uddin was working at Bogra Medical College Hospital. He died in a road accident on his way home at night. His burial has been completed after Janazah after Zuhr today. Officer-in-Charge (OC) of Shahjahanpur Police Station Abdullah Al Mamun said the body of the deceased has been recovered and sent to the morgue of Shaheed Ziaur Rahman Medical College Hospital."
23,3 killed in Barishal road accident,"The deceased were identified as Akhter Hossain, 31, of Chortola area of Mehendiganj upazila, Russell, 22, of Barisal Sadar upazila and and helper Md Sohan, 22, of Mathbaria of Pirojpur.Monirul Islam Buuiyan, officer-in-charge (OC) of Gaurnadi highway police station, confirmed the matter.He said that a Barishal-bound covered van hit a stranded truck, which was being repaired on the road, at 3:00am, leaving its driver and helper dead on the spot.The bodies were sent to hospital for post mortem."
24,Motorcyclist killed in Natore road accident,"A motorcycle rider was killed in a road accident on the Rajshahi-Dhaka highway in Haibatpur Bazar area of Natore district on Tuesday. The accident took place at about 9:30am when a truck runs over the motorcycle.  The deceased was identified as Amir Hossain, 30, a resident of Sholghor area of the same upazilla. He was a tailor by profession.Enraged by this incident, the public blocked the highway. Later when the local administration gave their word regarding better road management, the road block was lifted. OC of the Jhalmalia police station said that when Amir Hossain, on his motorcycle, started from the upazilla’s Laxmipur Bazar to reach Ahmedpur, a truck ran over him when he reached Haibatpur Bazar. He died on the spot. Later, the enraged public blocked the highway. UNO of the upazila Jahangir Alam visited the spot and assured of road repairs and management, the blockade was lifted. Due to the negligence and irresponsibility of the roads department, many a places along the roads from Notore’s police line to Haibatpur Bazar remain in risky situations. As a results, accidents often take place in these areas.Office-in-Charge (OC) of Notore police station, Jahangir Alam has informed that the truck involved in the accident has been caught. But because the driver and helper escaped, they have not been caught yet. A motorcycle rider was killed in a road accident on the Rajshahi-Dhaka highway in Haibatpur Bazar area of Natore district on Tuesday. The accident took place at about 9:30am when a truck runs over the motorcycle.  The deceased was identified as Amir Hossain, 30, a resident of Sholghor area of the same upazilla. He was a tailor by profession."
25,4 killed in Sherpur road accident,"The accident took in the morning after a truck hit an auto-rickshaw in the area. One of the deceased was identified as Selim Miai, son of late Tayeb Ali from Nalitabari of the district. Identities of others injured could not be known immediately.Sub-inspector of of Sherpur Sadar police station Khokon Chandra Sarkar confirmed the matter.The SI said that the truck hit the auto-rickshaw at the area at 9:30am, leaving the four passengers of the vehicle dead on the spot and three others injured. The injured were taken to a local hospital, he said. The truck was seized but the driver managed to flee scene, the SI added."
26,2 killed in Munshiganj road accident,"The deceased were identified as Ismail Hossain, 35, son of Ali Miah of Kachua police station area in Chandpur, and Abul Kalam Mollah, 26, son of Muslim Mollah of the same area.The injured was identified as Belal, 25, of Araihazar upazila of Narayanganj.The accident took place when a Dhaka-bound passenger bus coming from Cumilla hit the victims, who were waiting there for bus to go to their respective destinations, leaving the duo dead on the spot, said Gazaria Bhaber char Highway Police Outpost Officer-in-Charge (OC) Md Salah Uddin.Being informed, police rushed to the spot and tried to stop the killer-bus but it was not possible, he said, adding that it was assumed that the mishap happened due to intense fog amid the ongoing cold weather.He informed that the bodies of the deceased are kept at Bhaber char outpost while the injured Belal is being treated at a local private hospital.All the victims were hoteliers or hotel businessmen, said Sumon Miah, the brother of the deceased Ismail Hossain, adding that they were going to Dhaka’s Jatrabari area to buy hotel goods."
27,Madrasa student killed in Jashore road accident,"The deceased was identified as Md Sulaiman Hossain, 11, son of Siddikur Rahman resident of Mohonpur area in Monirampur upazila of the district.Officer-in-Charge of Monirampur police station Md Rafiqul Islam confirmed the matter. Police and witnesses said that the accident took place at Kalarhat Rahman Mor area at about 9.00 am when he fell down from the running vehicle. He was injured seriously. Locals rescued him and sent him to Monirampur Upazila Health Complex where the on duty doctors declared him dead. OC Md Rafiqul Islam said that a General Diary (GD) was filed with the police station in this connection."
28,"Four killed in Pabna, Madaripur road accidents","At least four people were killed and six others were injured in two separate road accidents in Pabna and Madaripur on Friday. In Paban, two people were killed and three others injured as a truck hit a CNG-run auto-rickshaw on Pabna-Sujanagar road in Pabna Sadar upazila in the morning.The deceased were identified as Jhontu Kundu, 60, and Arifa Khatun, 40, both passengers of the auto-rickshaw.In-charge of Dublia Police Camp Md Shafiul Alam said that the Sujanagar-bound coal-laden truck reached Dublia Bazar area and hit the three-wheeler coming from the opposite side around 8:30am killing Jhontu and Arifa on the spot.Three other passengers of the auto-rickshaw were critically injured and rushed to the Pabna General Hospital, he added.Police seized the truck but are yet to catch the driver and helper, the police official also said that vehicular movement on the Pabna-Sujanagar road remained halted for around one hour since the accident.In Madaripur, two passengers were killed and three others critically injured after an ambulance fell into a roadside ditch in Shibchar upazila of the district on Friday noon.The deceased were identified as Khadiza Begum, 50, wife of Anwar Hossain from Purba Bamura village in Uzirpur upazila of Barisal, and Mehedi Hossain, 17, son of Jalal Mia from the same village.According to locals, the accident took place about 12:00 pm when Khadiza Begum and her family was travelling to Dhaka for treatment by an ambulance. As the vehicle reached Kutubpur area, the driver lost control over steering and drove the vehicle off the road to a roadside ditch. Two passengers died on the spot. Officer-in-Charge (OC) of Shibchar highway police station Sohrab Ahmed Majumdar said that on information, police visited the accident spot. The injured were taken to Panchar Royal Hospital in the upazila."
29,Couple killed in city road accident,"A couple was killed as a bus hit their motorbike in the city’s Airport Road area on Monday morning.The deceased were identified as Md. Akash Ikbal, 27, and his wife Maya Hazarika, 23.The accident took place in front of the Padma Oil Gate on the Airport Road around 8.15 am when a bus hit their motorbike, leaving them dead on the spot, said Mashiul Alam, sub-inspector (SI) of Airport Police Station.They were heading towards Khilkhet area from their home in Dakkhinkhan. The bodies were sent to Dhaka Medical College Hospital morgue for autopsy.Police seized the bus but its driver went into hiding soon after the accident, the SI said."
30,Two cops killed in Lalmonirhat road accident,"The accident took place as a truck hit a motorbike of the two policemen they were riding in the afternoon.The deceased were identified as Sub-Inspector (DB) of Hatibanda police station Abdul Matin and constable Mojibul Haque.Ershadul Alam, officer-in-charge (OC) of Hatibanda police station, confirmed the matter. He said that the accident took place on Lalmonirhat-Burimari road at about 3:00 pm when the policemen were returning to the station by a motorbike. A truck hit the bike as the policeman was trying to overtake it killing both riders on the spot. After the incident, locals seized truck. On information, members of Hatibanda police and fire service went to the spot and recovered the bodies, the OC added.The OC said that legal action will be taken in this connection."
31,Seven killed in Jhenaidah road accident,"The accident took place in the evening as a truck and a human hauler (locally known as Alam sadhu) collided at Shailkupa upazila in the district. The identities of the deceased could not be known immediately. Shailkupa police circle Assistant Superintendent of Police (ASP) Ariful Islam confirmed the matter.Jhenaidah Fire Service and Civil Defense deputy assistant director Shamimul Islam said that all the deceased were passengers of the human-hauler. The death toll likely to increase, he said."
32,"Motorcyclist killed in Savar road accident, child in wall collapse","The deceased was identified as Parvez Hossain, 23, son of Billal Hossain of Sholakia village under Shudharam police station of Noakhali. Golam Mostafa, Officer-in-Charge (OC) of Savar highway police station, confirmed the matter. He said that the incident took place on Tuesday morning as an vehicle hit the motorcycle while he was going to the capital, leaving him died on the spot.Meanwhile, a child-girl was killed and other other pedestrians were critically injured after a wall collapsed on them, while they were crossing a building under-construction at Zirani area of Ashulia.The deceased was identified as Happy Akhter Mina, 13, daughter of Habibur Rahman of Ratulpara village of Kushtia. Her mother Rekha Akhter, 35, and two others namely Shariful Alam, 35, and Sazzad Hossein, 45, also injured in that incident.Md Abdul Alim, Deputy Assistant Director of Fire Service (Zone-4) confirmed the matter. He said that the incident took place around 12:45 pm. The construction workers were working to remove by breaking a single-storied building to reconstruct it, but suddenly, one of its wall collapsed on pedestrians."
33,2 killed in Cox’s Bazar road accident,"The deceased were identified as Monir Ahmmad, 22, son of Abdur Rahim of Ghumdhum Noapara at Naikhongchari upazila, and human hauler driver Jafar Alam, 28, son of Prokash Abuilla from Palangkhali Bat Tali area of the upazila.In-charge of Ukhia Shahpuri highway police Marufur Rahman confirmed the matter.Police and locals said that the Teknaf-bound St Martin Paribahan bus collided with the human hauler carrying the victims on Cox's Bazar-Teknaf road at about 9:00 am, leaving the two people dead on the spot and two other passengers injured. On of the injured was in critical situation. The bodies were recovered and sent to Cox's Bazar Sadar Hospital morgue. One injured person named Khairul Bashad, son of Mokbul Hossain of Noapara area was sent to Chattogram for better treatment while the other one was admitted to Red Crescent Hospital."
34,Two killed in Satkhira road accident,"The accident took place on Satkhira-Khulna highway near Shakdah Bridge area at about 8:00am.The deceased were identified as Rampad Mandal, 45, son of Madar Mandal of Arpangashia village under Shyamnagar upazila of Satkhira, and Otikor Mandal, son of Bonmali Mandal of the save village. Satkhira Fire Service and Civil Defence station deputy assistant director Tarek Bhuiyan confirmed the matter. He said that the injured were admitted the Satkhira Sadar Hospital. Dr Sharmin of the hospital said that the some of the injured were released after primary treatment. However, condition some others are serious. Ariful Islam, one of the injured in the accident, said that the accident took place when the driver of the Khulna-bound passenger bus from Satkhira lost control over steering as he was trying to overtake another bus and fell into the ditch leaving the duo dead on the spot and 15 others injured.Patkelghata police station Officer-in-Charge (OC) Kazi Wahid Morshed said that the bodies were recovered and sent to Satkhira Sadar Hospital for autopsy. "
