,Unnamed: 0,newspaper_name,date_of_incident,time_of_incident,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,driver_age,links,description_text,published_time,full_text
10,10,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/rab-member-another-killed-in-gazipur-road-accident/68919,"Rab member, another killed in Gazipur road accident","May 12, 2021","Two people, including a member of RAB-4, were killed when a microbus hit a Rab vehicle on Dhaka-Mymensingh highway in Gazipur on Wednesday. The deceased were identified as Mohammad Khairul Islam, a member of RAB-4 and motor mechanic Liton Mia, said Rab SI Md Rakib.Three injured RAB-4 members- senior warrant officer Md. Shariful Islam, soldier Atiq, Corporal Pradeep Kumar and motor mechanic Rifat,20, were airlifted to Dhaka CMH from Sreepur Hospital in Gazipur in a special helicopter, said Maona Highway police camp in-charge Kamar Hossain.SI Rakib said a microbus of RAB-4 went to Bhabanipur area of Gazipur Sadar upazila and suddenly it stopped running due to mechanical fault on the way from Dhaka to Sreepur.Later, local mechanics Rifat and Liton were called to repair it.At one stage, another speeding microbus hit the RAB-4 van from behind, leaving four RAB members and two mechanics were seriously injured.Later, they were taken to Al Hera Medical Center at Mauna Chowrastar in Sreepur Upazila for treatment where a doctor declared Khairul Islam dead."
11,11,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/rickshaw-puller-killed-in-city-road-crash/68917,Rickshaw puller killed in city road crash,"May 12, 2021","A rickshaw puller was killed as a speeding car hit his rickshaw on Basabo flyover in the capital's Sabujbagh on Wednesday morning.The identity of the deceased, aged about 35, could not be ascertained yet.When a speeding car hit the rickshaw its puller fell on the road in the morning, said a witness of the incident.He was rushed to the emergency department of Dhaka Medical College Hospital in critical condition and was pronounced dead by a doctor at around 5.30 am.Mohammad Bachchu Mia, in-charge (inspector) of the police camp at DMCH confirmed the death and said the body has been kept at the morgue of the hospital for an autopsy."
12,12,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/sust-student-killed-in-sylhet-road-crash/68616,SUST student killed in Sylhet road crash,"May 06, 2021","The deceased was identified as Shabbir Ahmed, student of the Chemistry Department.Kotwali Model Police Station SI Abdus Sattar confirmed the incident.Witnesses said a truck hit Shabbir's motorcycle at the Subidbazar point at around 9 pm on Wednesday. Sabbir lost control of his motorcycle and fell on the street.He had severe head injuries and died on spot.SI Abdus Sattar said that after receiving the information, police seized the truck and arrested the driver upon reaching the spot.The body was recovered and sent to Sylhet Osmani Medical College Hospital morgue.After the accident locals blocked the road disrupting traffic for about half an hour.Later police brought the situation under control."
13,13,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/sylhet-road-crash-leaves-three-dead/68490,Sylhet road crash leaves three dead,"May 03, 2021","Three people were killed as a truck ploughed through a roadside motor workshop at Darbast bazar in Jaintapur upazila on Sylhet-Tamabil highway on Monday morning.The deceased were identified as Sohel Ahmed, Ashik Ahmed and Minhaz Uddin Sultan.The accident took place when a speeding Jaflong-bound truck ploughed through a motor workshop after the driver lost control over the vehicle in the morning, said Partha Ranjan Chakrabarty, sub-inspector of Jaintiapur Police Station.The bodies were sent to Sylhet MAG Osmani Medical College Hospital for autopsy.The accident took place a day after another deadly accident on the same highway in Jaintiapur upazila that left five people dead."
14,14,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/road-accidents-in-bangladesh-claim-468-lives-in-april/68432,Road accidents in Bangladesh claim 468 lives in April,"May 02, 2021","At least 468 people were killed and 507 others injured in 432 road accidents across the country in the last month amid the nationwide lockdown, said Bangladesh Jatri Kalyan Samity, a passengers' welfare platform, on Sunday.The road accidents took place on different national and regional highways, according to a report published by the organization.Besides, six more people were killed in eight accidents on rail tracks, 38 people were killed and nine others injured in 14 accidents on river routes while two others went missing during the period.The report was published after analysing accident reports published in the country's national and regional dailies and online media.According to the Bangladesh Jatri Kalyan Samity report, among the injured victims, 82 were pedestrians 134 were drivers, 110 were transport workers, 33 were students, six were teachers, 28 were members of law enforcement agencies, 52 were women, 47 children and four were leaders of different political parties.One hundred and twelve drivers of different vehicles, 38 women, 26 students, 36 transport workers, 42 children, two political leaders, seven members of law enforcement agencies and four teachers were among those killed in the road accidents in the last month.The report also said that 221 accidents took place due to truck-covered van collision, 144 by motorbikes , 55 by battery-run human haulers, 64 by unauthorised human haulers, 52 by CNG run auto-rickshaws, 30 by private cars and by 20 buses. On April 8, 26 people were killed and 33 others injured in 26 road accidents , the highest death toll in the month.Besides, ten people were killed and six others were injured in six road crashes on April 14, the lowest death toll reported in the month."
15,15,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/4-of-a-family-among-5-killed-in-sylhet-road-crash/68422,4 of a family among 5 killed in Sylhet road crash,"May 02, 2021","Five people including four members of a family were killed and two others injured when a truck rammed a CNG run auto-rickshaw on Sylhet-Tamabil highway at Pakhibil in Jointapur upazila on Sunday.The deceased were identified as Hossain Ahmed, 35, driver of the CNG run auto-rickshaw, Sadia Begum, 35, wife of Jamal Ahmed, their four month old baby boy Shahadat Hossain, daughter Sabia Begum, 7, and Habibunnesa, 33, sister-in-law of Sadia.The accident occurred around 6:45 am when the Jaflong-bound stone-laden truck hit the Sylhet-bound CNG- run auto-rickshaw, leaving five people dead on the spot and two others injured, said Dastagir Ahmed, officer-in-charge of Jointapur Police Station.The injured- Mohammad Zakaria, 50, brother-in-law of Sadia and his wife Hasina Begum, 40, of Rupchang village in the upazila, were taken to a local hospital.Road accidents in BangladeshRoad accidents claim hundreds of lives every year in Bangladesh.In January this year, at least 484 people were killed in 427 road crashes.According to Road Safety Foundation (RSF), accident rates jumped by 25.58 percent and fatalities by 8.76 percent in January compared to the same period last year.At least 445 lives were lost in 340 road accidents in January 2020, according to RSF.Besides, a total of 409 pedestrians, including 66 women and 97 children, were killed between January and March this year in road accidents, according to the Road Safety Foundation (RSF), which was published in April 12.A report prepared by RSF with information collected from seven national dailies, five online portals and electronic media reports, blamed 61.8 percent of the accidents on reckless driving and 38.19 percent on the insincerity of pedestrians.In a report released in February 2020, the World Bank said that Bangladesh needs to invest an estimated extra $7.8 billion over the next decade to halve its road crash fatalities.The report attributed the high death rate on Bangladesh’s roads to a lack of investments in systemic, targeted, and sustained road safety programmes."
16,16,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/cumilla-crash-victims-belong-to-3-generations-of-a-family/67502,Cumilla Crash: Victims belong to 3 generations of a family,"April 13, 2021","A man, his daughter and granddaughter died Tuesday, as a truck piled into a CNG auto-rickshaw in Chiwra, an area of Chauddagram in Cumilla.The deceased were identified as Md Hanif, his daughter Mery Begum, and granddaughter Mehzabin.Yasin Prodhania, Fire Service and Civil Defence in-Charge of Chauddagram, said the driver of the truck lost control of his vehicle and hit the auto-rickshaw hard- killing Mery on the spot and injuring four others.After being taken to the hospital, doctors declared two more dead, said Prodhania.Road accidents in BangladeshRoad accidents in Bangladesh claim hundreds of lives every year.At least 484 people were killed and 673 others injured in as many as 427 road accidents in January this year.According to Road Safety Foundation (RSF), the accident rate increased by 25.58 percent while fatalities rose by 8.76 percent in January compared to the same period last year.At least 445 lives were lost in 340 road accidents in January 2020, according to RSF.In a report released in February last year, the World Bank said Bangladesh needs to invest an estimated $7.8 billion over the next decade to halve its road crash fatalities.The report attributed the high death rate on Bangladesh’s roads to a lack of investment in systemic, targeted, and sustained road safety programmes."
17,17,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/two-killed-in-rajshahi-road-crash/67229,Two killed in Rajshahi road crash,"April 07, 2021","Two people, including a woman, were killed after a truck collided head-on with an auto-rickshaw in Murailipur of Paba upazila in Rajshahi on Wednesday afternoon.One of the deceased was identified as Ansar Ali, 40, while the identity of the woman could not be known immediately.Rajshahi Fire Service and Civil Defence Senior Station Officer Abdur Rauf said a Chapainawabganj-bound truck hit an auto-rickshaw at 2:45pm, killing two people on the spot and injuring two others.Police have recovered the bodies from the spot, he said.Road accidents in BangladeshRoad accidents in Bangladesh claim hundreds of lives every year.At least 484 people were killed and 673 others injured in as many as 427 road accidents in January this year.According to Road Safety Foundation (RSF), the accident rate increased by 25.58 percent while fatalities rose by 8.76 percent in January compared to the same period last year.At least 445 lives were lost in 340 road accidents in January 2020, according to RSF.In a report released in February last year, the World Bank said Bangladesh needs to invest an estimated $7.8 billion over the next decade to halve its road crash fatalities.The report attributed the high death rate on Bangladesh’s roads to a lack of investment in systemic, targeted, and sustained road safety programmes."
18,18,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/513-lives-lost-in-march-road-accidents/67149,513 lives lost in March road accidents,"April 05, 2021","At least 513 people, including 63 children, were killed and 598 injured in 409 road accidents in March, Road Safety Foundation said Monday.The non-government organisation also said 147 lives were lost in 138 motorcycle accidents, which is 28.65% of the total deaths.Also, around 136 pedestrians and 82 drivers and their assistants were killed in accidents last month.Accidents on waterways claimed at least two lives and injured eight while 19 were killed and 15 injured in train accidents.The maximum number of road accidents took place in Dhaka division where 136 accidents claimed 119 lives while Barishal saw the lowest number of accidents where 26 lives were lost in 21 accidents. Road Safety Foundation came up with the findings, based on the reports of seven national dailies, five online news portals and electronic media.It pinned the blame on unfit vehicles, speed, unskilled drivers, slow-moving transport on highways, reckless motorcycle driving and weak traffic management.Meanwhile, at least 484 people were killed and 673 others injured in 427 road accidents in January this year.The accident rate increased 25.58% while fatalities rose by 8.76% compared to the same period of last year, Road Safety Foundation said. ""At least 445 lives were lost in 340 road accidents in January 2020.""In a report released in February 2020, the World Bank said, ""Bangladesh needs to invest an estimated $7.8 billion over the next decade to halve its road crash fatalities.""The report linked the high death rate on Bangladesh's roads with a lack of investments in systemic, targeted, and sustained road safety programmes."
19,19,,,,,,,,,,,,,,
20,20,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/three-killed-in-cumilla-road-crash/67099,Three killed in Cumilla road crash,"April 04, 2021","Three people were killed as a truck hit a battery-run auto-rickshaw in Palpara area of Cumilla Sadar upazila on Sunday.The deceased were identified as Helal Mia, 60, Matin Mia, 65, and Abdul Kader, 70.Officer-in-Charge of Kotwali Police Station Md Anwarul Haque said the truck hitthea Mainamati bound auto-rickshaw at 9:30 am, leaving its two passengers dead on the spot and injuring some others.Later, one of the injured passengers died on the way to a hospital."
21,21,,,,,,,,,,,https://unb.com.bd/category/Special/dhaka-khulna-highway-turns-death-trap/66807,Dhaka-Khulna highway turns death trap,"March 30, 2021","30 Lives Lost In 13 Months On 35km Stretch In FaridpurThe 35 kilometre stretch between Faridpur Sadar and Kamarkhali Bridge in Madhukhali on the Dhaka-Khulna highway has become a virtual death trap for commuters.In the past 13 months, at least 30 people have reportedly died in different road accidents on the high-speed corridor. Apart from claiming lives, road crashes on the stretch have caused permanent disabilities in hundreds of victims.What's worrying is that accidents and fatalities are on the rise on the stretch despite the local police setting up a number of check posts in accident-prone areas to curb speeding.On March 21 this year, as many as nine people, including six members of a family, were killed in a collision between a microbus and a truck at Majhkandi on the Dhaka-Khulna highway. All the victims were from Jhenaidah district.On January 6, 2020, six people, including four members of a family, lost their lives on the same highway when a bus rammed a microbus at high speed.Cops attribute the rise in the number of accidents on the highway to speeding as well as careless and negligent driving.Superintendent of Faridpur Highway Police, Mostafizur Rahman, told UNB that a number of check posts have been set up on the highway. ""But nothing seems to be working.""""Despite accidents on the highway stretch claiming a number of lives every year, there's no end to motorists' fetish for speed,"" he added.Advocate Shipra Goswami, however, said that ""stricter enforcement of law is the need of the hour"". ""Those involved in reckless driving should be brought to book.""Mohammad Kabirul Islam Siddique, president of Faridpur Press Club, agreed. “Police must strictly enforce traffic rules to curb speeding and accidents on the highway. At the same time, motorists should adhere to speed limits,"" he said.Shahrier Rumi, executive engineer of Faridpur Roads and Highways Department, also urged motorists and other occupants of vehicles to stay alert while using the highway.The highway also known as N7 connects the Daulatdia Ferry Terminal on the south bank of the Padma River near Dhaka with the Port of Mongla in Bagerhat district. It serves some of the largest cities and towns in southwestern Bangladesh, including Faridpur, Magura, Jhenaidah, Jessore, and Khulna."
22,22,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/4-killed-in-chattogram-road-crash/66618,4 killed in Chattogram road crash,"March 26, 2021","Four passengers were killed and three more were injured as two CNG autorickshaws collided with a truck at Rangunia upazila on the Chattogram-Kaptai road.The incident took place around 8pm on Thursday (March 25) in the Kalugotta area of Chandraghona-Kadamtali union in Rangunia.The deceased were identified as Daisy Dutt (35), Abul Kalam (7), Md. Akbar Hossain (25) and child Adrish Souma.Rangunia Police Station Officer-in-Charge Mahabub Milki said the two CNG autorickshaws collided with a Chattogram-bound truck from Chandraghona area of Rangamati at Balugutta. Four passengers were taken to Chattogram Medical College Hospital in critical condition and the on-duty doctor declared them dead.He added that the bodies were kept in the morgue of the hospital and the injured are being treated."
23,23,,,,,,,,,,,https://unb.com.bd/category/World/13-die-in-india-road-crash/66481,13 die in India road crash,"March 23, 2021","A group of 12 women returning home from work in an auto-rickshaw and its driver were killed when the overloaded three-wheeler collided head-on with a passenger bus in the central Indian state of Madhya Pradesh Tuesday, police said.The accident occurred in Madhya Pradesh's princely city of Gwalior, some 400 kms from state capital Bhopal, this morning.""The bus was travelling at high speed and its driver failed to spot the auto-rickshaw coming from the opposite direction, leading to the fatal crash,"" Gwalior police chief Amit Sanghi told the media.While eight of the 12 women -- all temporary cooks at a local government health centre -- and the auto-rickshaw driver died on the spot, four succumbed to their injuries on the way to a nearby hospital, the police chief said.""Fortunately, passengers travelling in the bus, which was headed to Morena district from Gwalior, escaped unhurt,"" he added.Indian President Ram Nath Kovind, Prime Minister Narendra Modi and Madhya Pradesh Chief Minister Shivraj Singh Chouhan have all expressed grief at the loss of lives. Modi has also announced compensation for the families of the victims.""PM @narendramodi has approved an ex-gratia of Rs. 2 lakh each from Prime Minister’s National Relief Fund for the next of kin of those who have lost their lives due to the unfortunate accident in Gwalior, MP,"" the Prime Minister's Office tweeted later in the day.In his condolence message, President Kovind said, ""The news of the death of the passengers, mostly women, in the road accident in Gwalior, Madhya Pradesh, has deeply saddened me. My heartfelt condolences to the families who lost their loved ones.""A case has been registered against the bus driver for rash and negligent driving. ""He fled from the spot. Efforts are on to nab him,"" the police chief said.Road accidents are very common in India, with one taking place every four minutes. These accidents are often blamed on poor roads, rash driving and scant regard for traffic laws.Indian government's implementation of stricter traffic laws in recent years have failed to rein in accidents, which claimed over 100,000 lives every year."
24,24,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/8-killed-in-separate-road-crashes-in-faridpur/66374,8 killed in separate road crashes in Faridpur,"March 21, 2021","In Madhukhali upazila, six people, including a woman and a child, were killed when a truck hit a microbus on Dhaka-Khulna highway at Majhkandi in Madhukhali upazila of Faridpur district on Sunday.The identities of the deceased could not be known immediately.The accident occurred around 9 am when the truck hit the Dhaka-bound microbus from Magura, leaving two people killed on the spot and 14 others injured, said Mohamamd Russell, assistant sub-inspector of Kanaipur Highway police camp.The injured were taken to a local hospital where doctors declared four of them dead.Police seized the truck but the trucker managed to flee the scene.Besides, two students were killed when a private car hit a motorbike at Biswaroad in Bhanga upazila headquarters early Sunday.Road accidents in BangladeshRoad accidents in Bangladesh continue to claim hundreds of lives every year.At least 484 people were killed and 673 injured in 427 road accidents in January this year.According to Road Safety Foundation (RSF) the accident rate increased by 25.58 percent while fatalities by 8.76 percent in January this year compared to the same period last year.At least 445 lives were lost in 340 road accidents in January 2020, according to the RSF.In a report released in February 2020, the World Bank said Bangladesh needs to invest an estimated extra $7.8 billion over the next decade to halve its road crash fatalities.The report attributed the high death rate on Bangladesh’s roads to lack of investments in systemic, targeted, and sustained road safety programmes."
