headline,summary,time_0f_incident
"Road accident kills woman, daughter","A mother and her daughter were killed when a covered van of Narish Poultry Feed hit them at Rupganj in Narayanganj on Tuesday.Two people were also injured in the fatal accident that took place at noon on Asian Highway in Charpara area of Kanchan Municipality.The injured were identified as Nazrul Islam's youngest daughter Nafiza and driver Humayun Mia.Inspector Mahbubur Rahman, in-charge of Bholab Investigation Center, said Ruby Akhter along with her two daughters was going to her father's house by an auto-rickshaw at noon.When the auto-rickshaw reached Charpara area, the Gazipur-bound covered van hit the auto, leaving Ruby and her elder daughter dead on the spot. Police arrested driver Dinesh Chandra and helper Tareq Majhi of the covered van.","28 April, 2021 12:00 AM"
Man killed in Ctg road accident,"CHATTOGRAM: An 18-year-old was killed in a road accident at Hathazari upazila in the district on Sunday.The deceased was identified as Shuvo Das, son of Ushnapad Das of Homna upazila in Cumilla. Shuvo lived with his family in Nandir Hat area under the Hathazari upazila. Officer in-Charge Md Kamrul Azam of Raozan highway Police Station said on information, they recovered the body and sent it to Chattogram Medical College Hospital morgue for autopsy.Police detained the truck while its driver and helper managed to flee the spot, he added.","7 June, 2021 12:00 AM"
3 killed in Ctg road accident,"CHATTOGRAM: At least three people, including a woman and her child, were killed and two others injured in a road accident in Banshkhali upazila of Chattogram on Monday.Sub Inspector (SI) Rakibul Islam of Banshkhali Police Station said the accident took place when a cement-laden truck collided head-on with a CNG-run auto-rickshaw in Bailgaon area under the upazila around 11:00am. The injured were Sanjida’s Husband Md Arman and CNG-run auto-rickshaw driver Ayub of Pekua upazila.  The injured were rushed to Chattogram Medical College Hospital, said Police.","11 May, 2021 12:00 AM"
Bicyclist killed in Chandpur road accident," A bicycle rider was killed and two others were injured in a road accident in Islampur area on Chandpur-Raipur road under Sadar upazila of the district today.Local people said the accident occurred when a CNG-run auto-rickshaw hit a bicycle in the area this morning, leaving three critically injured on the
spot.The wounded were taken to Chandpur General Hospital where the on-duty doctors declared Jahidul’s dead.Officer-in-Charge (OC) of Chandpur Model Thana Md Nasim Uddin said police visited the spot and seized the auto-rickshaw.A case was filed in this connection. ","14th June, 2019 06:55:37 PM"
2 cops killed in Lalmonirhat road accident,"Two policemen were killed when a stone-laden truck hit their running motorcycle at Khan Bazar point on the Lalmonirhat-Burimari highway under Hati-bandha upazila of Lalmonirhat district on Monday,reports BSS.The deceased were identified as Sub-Inspector (SI) Abdul Matin, 45, of the District Special Branch (DSB)              hailing from Bhurungamari upazila in Kurigram district and its Constable Majibul Haque, 50, hailing from Gangachara upazila in Rangpur district.They were working at Hatibandha Police Station in Lalmonirhat.SI Matin and Constable Majibul went to Fakirpara Union Parishad (UP) office riding on a motorcycle and collected information on the next union parishad elections.“When the speedy truck hit their motorcycle from behind on their way back, they fell under the wheels of the truck and were crushed to death on the spot,” the OC said.“Later, the bodies were sent to Lalmonirhat Sadar Hospital for autopsy,” the OC added.Superintendent of Police of Lalmonirhat Abida Sultana with senior police officials immediately rushed to the spot.“The first Namaz-e-Janaza of the deceased policemen will be held at Hatibandha Police Station followed by their second Namaz-e-Janaza at Lalmonirhat Police Lines tonight,” the OC said, adding that the bodies will be sent to their respective houses. ","19 January, 2021 12:00 AM"
Cop killed in Narayanganj road accident,"A police constable was killed as a truck hit his motorcycle in Sonargaon of the district on Sunday.The constable was identified as Arif Hossain, 25, hailed from Munshiganj district and was appointed in Narayanganj Police Lines.Officer-in-Charge of Sonargaon Thana Moniruzzaman said a case is being processed to file.","20th October, 2019 08:26:31 PM"
2 killed in Rajshahi road accident,"Two people were killed and two others injured after a speedy truck hit a battery-run rickshaw van in Puthia upazila of Rajshahi on Monday morning.The deceased were identified as rickshaw driver Shahidul Islam, 42 and Abdus Samad, 50, both of them hailing from Sultanpur village of Natore sadar upazila.The speedy truck rammed the rickshaw van carrying the victims on Senbhag road at 6:00am, leaving two dead on the spot and two others injured, said Lutfur Rahaman, sub-inspector of Paba Highway police station.","5th April, 2021 10:02:25 AM"
Mountaineer Ratna killed in road accident,"A fatal road accident has taken away the life of mountaineer Reshma Nahar Ratna who had a dream of climbing Mount Everest.The tragic accident happened on Friday morning when a microbus hit her bicycle on Lake Road near Chandrima Udyan in the capital.Officer-in-charge of Sher-e-Bangla Nagar Police Station Mohammad Abul Kalam Azad said the accident took place around 8:50am in front of the Chandrima Udyan bridge.Passers-by took her to Suhrawardy Medical College Hospital where the physicians pronounced her dead, the OC said.Azad said they are collecting video footage to identify the microbus.Reshma’s brother-in-law Moniruzzaman said they will file a case after the autopsy is done.Reshma’s friend Sakhawat Hossain said she was a regular member of the Bishwa Sahitya Kendra’s study circle.","7th August, 2020 10:27:29 PM"
Bus helper killed in Ctg road accident,"CHATTOGRAM: A bus helper was killed in a road accident at Hathazari upazila in the district on Tuesday.The deceased was identified as Md Hanif, 25.He was rushed to Chattogram Medical College Hospital where on-duty doctors declared him dead, said ASI Shilabrata Barua of the hospital outpost. ","16 June, 2021 12:00 AM"
Two killed in Habiganj road accident,"HABIGANJ: Two youths were killed in a head-on collision between a motorcycle and a CNG-run auto rickshaw in Natun Bazar area on Habiganj-Srimangal road in Bahubal upazila of the district on Saturday.The deceased were identified as Jamir Uddin, 40, and his cousin Shakil Ahmed Ramim, 35, of Tabajkhani village under Baniachang upazila of the district. According to local sources, the accident occurred in the area when the victims going to Srimangal by a motorbike collided head-on with a CNG-run auto rickshaw coming from the opposite direction at around 11am, leaving them injured seriously. ","30 May, 2021 12:00 AM"
3 teenagers killed in Gaibandha road accident,"Three motorcyclists were killed in a road accident in Panitala area in Gobindaganj upazila of Gaibandha on Thursday noon.The deceased were identified as Sakib Mia, 18, Abdullah Mia, 16 and Sumon Mia, 16, all of them hailing from Mayderhat area in Shibganj upazila of Bogura.The bodies have been recovered and brought to the police station, he said.","18th February, 2021 04:02:47 PM"
JU student killed in road accident,"A student of Jahangirnagar University was killed in a road accident at Bagatipara Upazila in Natore on Wednesday night.The deceased was identified as Abdullah Al Mahmud Shafi, a third year student of Public Administration department of the university and hailed from Natore district.Shafi was going to Bonpara station yesterday afternoon to receive his mother.  On the way, his bike lost control and hit a road side tree, said Monirul Islam, one of Shafi's friends.Critically injured Shafi was admitted to Bagatipara Upazila Health Complex. Later, he was taken to Natore District Hospital, he added.At night, doctors referred him to Rajshahi Medical College and Hospital after his physical condition deteriorated where the on-duty physician declared him dead around 2.00 am, said Monir.JU Vice-Chancellor Professor Farzana Islam and JUPA chairman Prof Dr Nurul Amin expressed profound shock at the death of Shafi.In a condolence message, the VC said, “We have lost a meritorious student at premature death of Shafi. His death is tragic for us as well as his family members.”","25th February, 2021 12:22:00 PM"
Youth killed in Ctg road accident,"CHATTOGRAM: A youth was killed in a road accident in the city’s Kadamtali area on Wednesday.The deceased was identified as Md Tuhin, 35, of Shahrasti upazila in Chandpur.The accident left the youth injured seriously.He was rushed to Chattogram Medical College Hospital where on-duty doctors declared him dead, said ASI Alauddin Talukder of the hospital police outpost. The body was sent to the hospital morgue, he added. ","18 February, 2021 12:00 AM"
Biker killed in Ctg road accident,"CHATTOGRAM: A biker was killed in a road accident in the city on Saturday.The deceased was identified as Masud Rana, 31, who hails from Kushtia district.Sources said a goods-laden lorry hit the motorbike of Rana while he was going to his workplace in the port area around 4:00 pm.The accident left him injured critically.He was rushed to Chattogram Medical College Hospital where on doctors declared him dead, said ASI Shilabrata Barua of the hospital police outpost. ","25 April, 2021 12:00 AM"
3 killed in Naogaon road accident,Three people were killed and another was injured after a track hit an auto-rickshaw in Sandeshpara area under Patnitala upazila of Naogaon on Monday noon.The identities of the deceased and injured could not be known yet.Patnitala Upazila Health Officer Khalid Saifullah said the injured were admitted to the hospital in critical condition but two of them succumbed to their injuries.The rest injured was referred to Rajshahi Medical College Hospital (RMCH) in critical condition.,"1st February, 2021 03:00:37 PM"
2 motorcyclists killed in Rajshahi road accident,Two motorcyclists were killed as a passenger bus rammed their vehicle at Katakhali area in Rajshahi on Thursday noon.The identities of the deceased could not be known yet.,"12th December, 2019 03:53:50 PM"
Man killed in Ctg road accident,"CHATTOGRAM: An elderly person was killed in a road accident in the city’s Bayezid area on Tuesday.The deceased was identified as Afsar Ali, 70, of Jungle Salimpur area under Sitakunda upazila in the district. He was a security guard by profession.He was rushed to Chattogram Medical College Hospital where on-duty doctors declared him dead, said Assistant Commissioner of Bayezid Zone Md Shah Alam of CMP.Meanwhile, two motorcyclists were killed in separate road accidents in the capital on Tuesday.They deceases were identified as Sakib, 26, and Mohammad Mamun, 35.The injured Didar, 27, is undergoing treatment at DMCH.","7 April, 2021 12:00 AM"
"Father, daughter killed in Pabna road accident","A man and his daughter were killed and his wife was injured after a truck hit his motorcycle at the Tarabaria area in Sujanagar upazila of Pabna on Friday morning.The deceased were identified as Md Alomgir Hossain, 36, resident of Char Ashutoshpur village in Pabna Sadar upazila, and his daughter Sinha, 6. The injured is Nasrin Akter, 30.Nasrin was taken to Sujanagar Upazila Health Complex and was later shifted to Pabna General Hospital for treatment, said the OC.After the accident, the angry people set fire to the truck. Police later rushed to the spot and seized the truck but its driver managed to flee the scene, he added.","2nd April, 2021 10:59:35 AM"
Man killed in city road accident,"A man was killed when a pick-up hit a private car in the city’s Banani area early Sunday. The deceased was identified as Abdul Jalil, 40, the driver of the pick-up van, reports UNB. The pick-up was heading towards Airport from Mohakhali area.","14 June, 2021 12:00 AM"
JU student killed in road accident,"A student of Jahangirnagar University was killed in a road accident at Gazaria upazila in Munshiganj on Wednesday night, reports BSS.The deceased was identified as Mehedi Hasan, a third year student of Geography and Environment department of the university and hailed from Manikganj distric.“After getting the news, the police went to the spot and rescued the microbus and a private car involved in the accident.Themicrobus collided head-on with an electric pillar and twisted. Immediately we sent Mehedi to Dhaka for better treatment as his condition was critical.The other passengers of the microbus were admitted to the local Bhaber Char Health Complex”, he added.JU Vice-Chancellor Professor Farzana Islam today expressed profound shock at the death of Mehedi Hasan.In a condolence message, the VC said, “We have lost a meritorious student at premature death of Mehedi. His death is tragic for us as well as his family members.”The VC prayed for the eternal peace of the departed soul and conveyed deep sympathy to the bereaved family members.","25 December, 2020 12:00 AM"
Man killed in Banani road accident,"A man was killed and three others were injured after a private car hit a pick-up van in capital’s Banani early hours of Sunday.The deceased was identified as Abdul Jalil Molla, 40, hailing from Gazipur.Later, the injured were taken to Dhaka Medical College and Hospital (DMCH) where duty doctor declared the van drive Jalil dead.Inspector Bachchu Mia, also in-charge of DMCH Police Outpost, said that the body has been kept at the hospital morgue for an autopsy.","13th June, 2021 11:44:52 AM"
Man killed in city road accident,"A man was killed when a pick-up hit a private car in the city’s Banani area early Sunday. The deceased was identified as Abdul Jalil, 40, the driver of the pick-up van, reports UNB. The pick-up was heading towards Airport from Mohakhali area.","13th June, 2021 11:46:11 PM"
Mountaineer Ratna killed in road accident,"A fatal road accident has taken away the life of mountaineer Reshma Nahar Ratna who had a dream of climbing Mount Everest.The tragic accident happened on Friday morning when a microbus hit her bicycle on Lake Road near Chandrima Udyan in the capital.Officer-in-charge of Sher-e-Bangla Nagar Police Station Mohammad Abul Kalam Azad said the accident took place around 8:50am in front of the Chandrima Udyan bridge.Passers-by took her to Suhrawardy Medical College Hospital where the physicians pronounced her dead, the OC said.Azad said they are collecting video footage to identify the microbus.Reshma’s brother-in-law Moniruzzaman said they will file a case after the autopsy is done.Reshma’s friend Sakhawat Hossain said she was a regular member of the Bishwa Sahitya Kendra’s study circle.","8 August, 2020 12:00 AM"
Minor boy killed in Ctg road accident,"CHATTOGRAM: A minor boy was killed in a road accident in the city’s Kazirdewri area on Friday.The deceased was identified as Md Arkan, 6, son of Mostafa Kamal, of Bakolia area in the city.The accident left the boy critically injured.Later, he was rushed to Chattogram Medical College Hospital where he succumbed to his injuries at around 1:00am on Friday, said ASI Shilabrata Barua of the Hospital Police Outpost.  ","10 April, 2021 12:00 AM"
JU student killed in road accident,"A student of Jahangirnagar University was killed in a road accident at Gazaria upazila in Munshiganj on Wednesday night.The deceased was identified as Mehedi Hasan, a third year student of Geography and Environment department of the university and hailed from Manikganj distric.“After getting the news, the police went to the spot and rescued the microbus and a private car involved in the accident. The microbus collided head-on with an electric pillar and twisted. Immediately we sent Mehedi to Dhaka for better treatment as his condition was critical.The other passengers of the microbus were admitted to the local Bhaber Char Health Complex”, he added.JU Vice-Chancellor Professor Farzana Islam today expressed profound shock at the death of Mehedi Hasan.In a condolence message, the VC said, “We have lost a meritorious student at premature death of Mehedi. His death is tragic for us as well as his family members.”The VC prayed for the eternal peace of the departed soul and conveyed deep sympathy to the bereaved family members.","24th December, 2020 04:57:58 PM"
2 killed in Ctg road accident,"CHATTOGRAM: Two passengers were killed and two others injured when a brick-laden truck collided head-on with a CNG-run auto-rickshaw at Fatikchhari upazila in the district on Monday.One of the deceased was identified as Manik Acharjee, 45, of Kabirhat upazila in Noakhali district while identity of another person could not be known immediately.Mir Sarwar, who is in charge of Fatikchhari Fire Station, said that the accident occurred when a brick-laden truck collided head-on with a CNG-run auto-rickshaw in Bibirhat area under the upazila around 9:30am.The accident left one passenger died on the spot and three others injured, he said.The injured were sent to Fatikchhari Upazila Health Complex where doctors declared another dead, said the officer. ","23 March, 2021 12:00 AM"
Garment worker killed in Ctg road accident,"CHATTOGRAM: A female garment worker was killed in a road accident in the city’s Double-mooring area on Saturday.The deceased was identified as Kulsum Begum, 24.She was whisked off to Chattogram Medical College Hospital (CMCH) where she succumbed to her injuries, said ASI of the hospital police outpost Alauddin Talukder. ","3 January, 2021 12:00 AM"
11 killed in road accident in India's Karnataka,"At least 11 people died in a road accident on National Highway-4 near Itigatti village in Dharwad district of Karnataka of India, when a tempo traveller, carrying members of a women's club, en route to Goa for a holiday, had a head-on collision with a tipper truck on Friday morning.Ten women, belonging to the club based in Davangere, died in the crash apart from the driver of the tipper truck. Five women passengers from the club are said to be seriously injured apart from minor injuries suffered by two others, who were travelling in the tipper truck.District superintendent of police Krishna Kant was supervising the rescue and relief operation at the site. A case has been registered at Dharwad Rural Police station and investigations into the cause of the accident has begun.","15th January, 2021 03:11:41 PM"
2 killed in Ctg road accident,"CHATTOGRAM: Two passengers were killed and two others injured when a brick-laden truck collided head-on with a CNG-run auto-rickshaw at Fatikchhari upazila in the district on Monday.One of the deceased was identified as Manik Acharjee, 45, of Kabirhat upazila in Noakhali district while identity of another person could not be known immediately.Mir Sarwar, who is in charge of Fatikchhari Fire Station, said that the accident occurred when a brick-laden truck collided head-on with a CNG-run auto-rickshaw in Bibirhat area under the upazila around 9:30am.The accident left one passenger died on the spot and three others injured, he said.The injured were sent to Fatikchhari Upazila Health Complex where doctors declared another dead, said the officer. ","22nd March, 2021 10:40:06 PM"
2 bikers killed in city road accident,"Two motorcyclists were killed as a bus knocked them down  at Mayor Mohammad Hanif Flyover in the capital on Saturday.The deceased were identified as Md Akhtar Hossain, 37, and Mofizul Islam, 42, police said.","24 January, 2021 12:00 AM"
2 auto-rickshaw drivers killed in Habiganj road accident,"Two auto-rickshaw drivers were killed in a road accident at Baghanbari of Daulatpur area under Bahubal upazila in Habiganj early Tuesday.The deceased were identified as abdur Rakib, 35, son of late Atik Ullah, hailing from Mandalkapon village at putjuri union of the upazila and Akter Mia, son of Ashraf Ali, from Noapara village of the same area.","28th January, 2020 11:34:31 AM"
One killed in Lakshmipur road accident,"LAKSHMIPUR: A pickup van driver was killed and two others were injured when another pickup van hit his vehicle on the Dhaka-Raipur regional highway of the district this morning, reports BSS.   The deceased was identified as pickup van driver M Mamun, 32, son of Nur Nobi, a resident of Titahajra village under Begumganj upazila in Noakhali district.Lakshmipur-bound another one from behind as its driver lost control over the steering and plunged into a roadside ditch. Mamun died on the spot. Injured Nizam and Riaz were sent to Lakshmipur Sadar Hospital. ","12 January, 2020 12:00 AM"
3 students killed in Dinajpur road accident,"Three students were killed as their motorbike hit a roadside tree at Kundarun village under Ghoraghat upazila of Dinajpur district on Tuesday afternoon.

The victims are Imran Hossain, 15, a student of class eight and his younger brother Milon Rahman, 13, a student of class six, and sons of Shamsul Alam, resident of Maricha village and their cousin Monirul Islam, 13, a student of class six and son of Nur Hossain, of Balahar village of the upazila. All are students of Balahar High School.

Officer-in-Charge of Ghoraghat police station Amirul Islam said the accident occurred when the speedy motorbike hit the roadside tree in the area at about 3 pm, leaving the three bike riders dead on the spot.

Police recovered the bodies and sent to hospital morgue. ","13th March, 2018 06:39:43 PM"
2 killed in Gazipur road accident,"GAZIPUR: Two people were killed in two separate road accidents in the district on Saturday, reports BSS.The deceased were identified as Shamim Hossain, 36, of Sirajganj district and Mehedi Hasan, 14, an inhabitant in Sherpur.On the other hand, Mehedi, a helper of a pickup was killed when a truck hit his pickup in Porabari area in Gazipur city.Mehedi was rushed to Shaheed Tazuddin Ahmad Medical College Hospital where doctors declared him dead. ","31 January, 2021 12:00 AM"
Man killed in Khagrachhari road accident,"KHAGRACHHARI: A man was killed as two three-wheelers collided head-on at Dighinala upazila in Khagrachhari district on Saturday morning.The deceased was identified as Subhas Chandra Nath, a resident of Rashik Nagar area.Dighinala Police Station Officer-in-Charge (OC) Uttam Chandra Deb said police recovered the body from the spot. ","24 January, 2021 12:00 AM"
