,Newspaper name,Date of Incident,Time of Incident,Incident type,Location,Deaths count,Injury count,Type of vehicle,Gender ,Links,Description text,Date of publishing,Full Text,Article Summary,Image links
38,The Daily Star,,,,,8,,,,https://www.thedailystar.net/country/news/8-killed-chattogram-road-accident-1721521,8 killed as bus hits microbus in Chattogram ,"03:03 AM, March 28, 2019 / LAST MODIFIED: 02:50 PM, March 28, 2019","At least eight people, including a minor, were killed and several injured as a bus hits a microbus on Chattogram-Cox's Bazar highway in Lohagara upazila early today. A bus of Relax Paribahan rammed a microbus at Chunati of Chattogram’s Lohagara upazila around 1:00am, leaving eight people dead on the spot, reports our Chittagong correspondent quoting Inspector Md Alamgir, in-charge of Chunati police outpost, told The Daily Star. Mizanur Rahman, in-charge of Dohazari Highway Police Station confirmed the identities of the seven deceased. They are Taslima, 20, Abdus Shukkur, 28, (Moheshkhali); Hasina Momtaj, 45, (Sadar); Nurul Huda, 25, (Chakaria); Sadiya, 2, (Sadar) of Cox’s Bazar district and Afzal Hossain Sohel, 30, (Lohagara) and Abu Sayem, 22, (Banshkhali) of Chattogram.
All the deceased were the passengers of the microbus. It could not be confirmed whether they are from a single family, the police official said.
Informed, police and fire service personnel rushed to the spot and recovered the bodies and sent the injured persons to a local hospital, he said. ","At least eight people, including a minor, were killed and several injured as a bus hits a microbus on Chattogram-Cox's Bazar highway in Lohagara upazila early today.",None
39,The Daily Star,,,,,1,,,,https://www.thedailystar.net/country/news/driver-helper-sued-wasims-death-1720126,"Driver, helper sued for Wasim’s death","02:44 PM, March 25, 2019 / LAST MODIFIED: 04:23 PM, March 25, 2019","A lawsuit has been filed over death of Sylhet Agricultural University student Wasim Afnan, who was run over after allegedly being shoved off a bus. The bus driver, his helper and supervisor of the bus have been made accused in the suit filed by students and university proctor, our Moulvibazar correspondent reports quoting police. Moulvibazar Police Station Officer-in-Charge Sohel Mahmud told The Daily Star nine students and Proctor Mrittunjoy Kundu filed the case with his station today. We have asked the authorities to carry out the trial in Speedy Trial Tribunal, Kundu, proctor at Sylhet Agricultural University (SAU), told The Daily Star. Sharif Hossain, a student who has been leading the protests after Wasim’s death, told The Daily Star that the family of Wasim wants justice for their son. Wasim, 21, a fourth-year student of the Biotechnology and Genetic Engineering, was run over on Sylhet-Mymenshingh Highway in Moulvibazar. According to police, Wasim was run over by the speedy bus after he was pushed out of it by the helper. Initially injured critically, he later died at the hospital. ","A lawsuit has been filed over death of Sylhet Agricultural University student Wasim Afnan, who was run over after allegedly being shoved off a bus.",https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/wasim_1.jpg?itok=1IX3flk8&c=fbd851d5251cd72546ed6183ab0b9ce4
40,The Daily Star,,,,,60,,,,https://www.thedailystar.net/world/africa/news/least-60-killed-ghana-bus-collision-police-1719256,60 killed in Ghana bus collision: police,"05:16 PM, March 23, 2019 / LAST MODIFIED: 05:29 PM, March 23, 2019",,"At least 60 people were killed on Friday in a head-on collision between two buses in Ghana, police said, in the latest deadly crash on the country's roads.",https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/ghana_wb.jpg?itok=ycn26q5t
41,The Daily Star,,,,,7,,,,https://www.thedailystar.net/frontpage/news/7-killed-bus-collides-three-wheeler-1719136,7 killed as bus collides with three-wheeler,"12:00 AM, March 23, 2019 / LAST MODIFIED: 03:02 AM, March 23, 2019","Seven people, including three women and a child, were killed and six others injured in a head-on collision between a bus and a three-wheeler in Barishal's Banaripara upazila yesterday. The accident occurred on Barishal-Banaripara road near Goiarpar crossing around 9:45am, leaving one dead on the spot, said Abdur Rahman Mukur, officer-in-charge of the Barishal Airport Police Station. Six others died later. The bus was heading towards Barishal from Banaripara while the three-wheeler was on its way to Banaripara from Barishal. All the deceased were in the three-wheeler. One of the injured named Dulal said the bus was being driven recklessly and it crashed into the three-wheeler. Immediately after the accident, the bus driver, Abdul Jalil, fled leaving the vehicle right there. However, he was arrested in Barishal's Babuganj upazila later at night, said the OC. Both the vehicles were seized. The dead include Shila Haldar, 20, a master's student at Government BM College Barisal, and Sohel, 32, the driver of the three-wheeler. Those other killed were identified as Khokan, 40, Parvin Begum, 40, Manik Shikdar, 45, and Meherunnesa, 35.   The bodies were at Sher-e-Bangla Medical College last night. Another victim, seven-year-old Tayeem, died while being taken to Dhaka Medical College Hospital, the OC said. Sub-Inspector Nazrul Islam of Barishal Airport Police Station said they were investigating matter. In Manikganj, a helper of a truck driver was killed after the vehicle hit another one from behind on Dhaka-Aricha highway in Shivalaya upazila early yesterday. The deceased was identified as Paiko Molla, 38, son of Kashem Molla of Jashore's Kotwali area.  Yamin-ud Daula, in-charge of Barangail Highway Police Outpost, said the Paturia-bound truck hit a vehicle from behind in Falsatia area around 4:00am, leaving Molla seriously injured. He was rushed to Manikganj Upazila Health Complex but doctors declared him dead, he said, adding the driver fled. Meanwhile, a woman was killed after being hit by a train on Joydevpur-Bangabandhu Bridge railway tracks in Tangail yesterday. The dead is Jesmin Nahar Asma, 27, daughter of Ansar Ali of Hatibari village in Tangail Sadar and a student of Bangladesh Open University. She was talking over the phone while walking on the tracks, police said, quoting witnesses. The incident happened at Hatila Madhyampara area around 11:00am, said Sub-Inspector Emdadul Hague of Railway Police in Gharinda. Being informed, railway police recovered the body and took it to Gharinda Railway Station, the SI said. Later, it was handed over to the family, he added. ",None,None
42,The Daily Star,,,,,6,,,,https://www.thedailystar.net/country/news/college-girl-among-5-killed-barishal-road-crash-1718815,College student among 6 killed in Barishal road crash,"01:14 PM, March 22, 2019 / LAST MODIFIED: 06:16 PM, March 22, 2019","Six people including a female college student were killed and five others injured as a bus collided head-on with a human hauler on Barishal-Swarupkathi highway in Banaripara upazila of Barishal this morning. The deceased were identified as Shila Haldar, 24, a student of Mathematic Department of Barishal BM College, Parveen, 45, Meherunnessa, 70, Khokan, 40, Manik Shikder, 45, and Sohel, 32, driver of the human hauler, our Barishal correspondent reports quoting police. Four injured people are now undergoing treatment at the Barishal Sher-e-Bangla Medical College Hospital (SBMCH) while one Tamim, son of deceased Parveen is on the way to Dhaka Medical College Hospital as his condition deteriorated, said Arabinda Biswas, sub-inspector of the Barishal Airport Police Station. The condition of the injured persons is stated to be critical as two of them sustained severe head injuries in the accident, our correspondent reports quoting Shifat an emergency doctor of the SBMCH.     An oncoming bus of Seba Paribahan hit the three-wheeler, locally known as Mahindra when it was heading towards Banaripara from Barishal around 9:45am, leaving two passengers of the human hauler dead on the spot and nine injured. The injured were rushed to the SBMCH where doctors declared four more people dead, Nazrul Islam, sub-inspector of Barishal Airport Police Station said. On information, police reached to the spot and recovered the bodies. They also seized the bus and the three-wheeler, but the bus driver managed to flee the scene, he said. ",Six people including a female college student were killed and five others injured as a bus collided head-on with a human hauler on Barishal-Swarupkathi highway in Banaripara upazila of Barishal this morning.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/barishal_2.jpg?itok=TytcY70d&c=fbd851d5251cd72546ed6183ab0b9ce4
43,The Daily Star,,,,,13,,,,https://www.thedailystar.net/backpage/news/12-killed-road-railway-accidents-1718203,"13 killed in road, railway accidents ","12:00 AM, March 21, 2019 / LAST MODIFIED: 02:26 AM, March 21, 2019","At least 13 people have been killed and 34 others injured in separate road and train accidents in seven districts since Tuesday afternoon. A 35-year-old unidentified man was run over by a lorry of Korotoa Courier Service in the capital's Paltan area around 9:15pm yesterday. Mahmudul Haque, officer-in-charge of Paltan Police Station, said the man was crossing a road near Paltan intersection around 9:15pm when a speeding lorry hit him. The man died on the spot, he said, adding police detained the driver and seized the vehicle immediately after the incident. The accident took place just a day after a university student was run over by an unruly bus of Suprabhat Paribahan which was reportedly on a mad race. In another road accident in Sirajganj, at least three more people were killed and 10 others injured at the west end of the district's Bangabandhu Bridge as two buses collided head-on around 5:00pm yesterday. Sayed Shahid Alam, officer-in-charge of Bangabandhu Bridge West Zone Police Station, said none of the three victims -- two male and a female -- could be immediately identified. The accident occurred as drivers lost control over the steering wheels, he added. A long tailback was created due to slow vehicle movements on the bridge and its adjacent roads for about two hours after the accident. The bodies were kept in police custody, said the OC, adding that a case would be filed in this connection. The injured were admitted to different nearby hospitals. Meanwhile in Chattogram, two people were killed in separate train accidents in Sadar and Sitakunda upazilas. None of the victims could be identified, police said. Jakir Hossain, in-charge of Sholoshahar Station Railway Police Outpost, said a 13-year-old boy was sleeping on the door of a running Dohazari-bound local train and suddenly fell off around 11:30am in Jhaowtola area of Sadar upazila. He died on the spot, the IC added. Besides, another unknown person, aged around 27, was found critically injured near the rail tracks in Kadam Rasul area of Sitakunda upazila after he was hit by a train around 12:30am. Locals rushed him to Chittagong Medical College Hospital where doctors later declared him dead, police said. In Gaibandha, a school girl was killed as a truck rammed her bicycle in Chhatiantola bazar area on Gaibandha-Sundarganj highway of Sundarganj upazila yesterday afternoon. Her pillion rider sustained severe injuries. The dead is Sumi Akhter, 15, a ninth grader at Karunamayee Girls High School, and the injured is Shahnaz Akhter, a ninth grader at Katgora High School. SM Abdur Sobhan, officer-in-charge of Sundarganj Police Station, said the body was handed over to family members following legal procedures and the injured was sent to Rangpur Medical College Hospital. In a similar accident, a sixth grader student in Jashore lost her right leg yesterday. The sixth grader Nipa Khatun and her schoolmates became victims of a road accident as a pickup van rammed into their school van in Jashore's Sharsha upazila, said witnesses. According to them, doctors dismembered the right leg of Nipa after she was rushed to a local hospital. Two other students -- Rina Khatun, 12, and Saleha Khatun, 13 -- were also injured in the accident. Mashiur Rahman, officer-in-charge of Sharsha Police Station, said agitated people set the pickup van on fire and blocked Benapole-Jashore highway following the accident. Elsewhere, three people were killed and 20 others injured in two separate accidents in Natore on Tuesday. The dead are Rony Ahmed, 17, Zorip Sheikh, 38, and Saidur Rahman, 45. According to witnesses, a pickup van overturned besides a road at Gurudaspur upazila around 8:00pm on Tuesday, leaving Rony and Zorip dead on the spot and 20 others injured in Guruadspur upazila of the district. In a separate incident, a truck rammed into a motorbike near Gol-e-Afraz Government College in Singra municipality area around 5:00pm on Tuesday, leaving the motorbike rider Saidur injured. Later, the victim was rushed to Rajshahi Medical College Hospital where he succumbed to his injuries. In Gopalganj, three people were killed as their motorbike was hit by a train at Bhennabari level crossing in Sadar upazila around 11:40pm on Tuesday. The dead are Raju Shikdar, 25, Tanvir Chowdhury Rocky, 19, and Lebu Mollah, 25. A local train from Rajshahi hit the motorbike at night while the motorcyclists were trying to cross the level crossing, police said quoting witnesses, adding that all the victims died on the spot. Our Benapole, Faridpur, Gaibandha, Natore, and Pabna correspondents contributed to this report. ",None,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/accident_2_49.jpg?itok=PcT5dWrD
44,The Daily Star,,,,,,,,,https://www.thedailystar.net/city/news/students-road-safety-demand-logical-dncc-mayor-1717276,Students’ road safety demand logical: DNCC mayor,"01:56 PM, March 19, 2019 / LAST MODIFIED: 02:04 PM, March 19, 2019","In the face of severe protests following a road crash that killed a university student near Bashundhara today, the newly elected mayor of Dhaka North City Corporation said the students’ demands for safe road are “completely logical”. Mayor Atiqul Islam was addressing the students who took to the streets after Abrar Ahmed, a student of Bangladesh University of Professionals (BUP) was killed when a bus of Shuprovat Paribahan ran him over at Nodda near around 7:30am. Under the banner of “Safe Road Movement”, the students are demonstrating to press home an eight-point demand. The demands include: Free the transport sector of political influence and check necessary papers of all buses each month, bring those responsible under the purview of law, all vehicles without fitness and all drivers without license should be banned from the streets, among others. While addressing the student, the mayor also assured that no buses of Shuprovat Paribahan will ply Dhaka city streets following the accident. A foot-over bridge will also be set up in the next two to three months at the spot where Abrar was hit by the bus. ","In the face of severe protests following a road crash that killed a university student near Bashundhara today, the newly elected mayor of Dhaka North City Corporation said the students’ demands for safe road are “completely logical”.",None
45,The Daily Star,,,,,25,,,,https://www.thedailystar.net/world/news/road-accident-mexico-leaves-25-migrants-dead-1712200,Road accident in Mexico leaves 25 migrants dead,"12:29 PM, March 08, 2019 / LAST MODIFIED: 12:44 PM, March 08, 2019","A truck packed with Central American migrants swerved off a highway in southern Mexico Thursday, leaving at least 25 dead and 32 injured, officials said. The accident happened in Chiapas state, bordering Guatemala, the state attorney general's office said in a statement. The three-ton truck ran off the road and overturned, it added. Every year, thousands of poor Central Americans, mainly from Honduras, El Salvador and Guatemala, attempt dangerous trips through Mexico trying to reach the United States. Many travel in group caravans for safety, while others hire human traffickers who put them in overcrowded trucks with appalling sanitary conditions. The truck involved in this accident was carrying an estimated 80 people, said Isidro Hernandez of the local Red Cross. Some who were not injured may have fled. The fatalities include at least one minor, Hernandez added. Police and soldiers are working at the scene and there could be more victims, he said. In October, a caravan with as many as 7,000 people traveled through Mexico all the way to Tijuana on the border with California before eventually disbanding.   ","A truck packed with Central American migrants swerved off a highway in southern Mexico Thursday, leaving at least 25 dead and 32 injured, officials said.",None
46,The Daily Star,,,,,2,,,,https://www.thedailystar.net/city/news/man-dies-gabtoli-road-accident-1709455,2 transport workers killed in Dhaka road accidents,"11:57 AM, March 02, 2019 / LAST MODIFIED: 02:34 PM, March 02, 2019","Two transport workers were killed in separate road accidents in Gabtoli and Jatrabari of Dhaka today.In Gabtoli, a transport worker died after he was hit by a speeding vehicle near the bus terminal in the early hours today.   The deceased, Billal, 35, was on his way to work when an unidentified vehicle hit and fled immediately around 5:30am, Farukul Alam, officer-in-charge of Darussalam Police Station, told The Daily Star. 
Billal’s body has been kept at Shaheed Suhrawardy Hospital morgue. 
In Jatrabari, the second victim, Niranjan aged 26, was injured after falling from a speeding truck in Dayaganj area around 7:00am, Kazi Wazed Ali, officer-in-charge of Jatrabari Police Station, told the Daily Star.  
Doctors at DMCH pronounced him dead, police said. ",Two transport workers were killed in separate road accidents in Gabtoli and Jatrabari of Dhaka today.,None
47,The Daily Star,,,,,3,,,,https://www.thedailystar.net/backpage/news/three-killed-lorry-rams-van-cumilla-1708285,Three killed as lorry rams van in Cumilla,"12:00 AM, February 28, 2019 / LAST MODIFIED: 12:45 AM, February 28, 2019","Two pedestrians and a van puller were killed after a driver lost control of a lorry and it ran over the three on Dhaka-Chattogram highway near Kutumbpur bus stand in Cumilla's Chandina upazila yesterday. Witnesses said Mohorom Ali, 75, and Abdul Matin, 65, of Kutumbpur Uttarpara, were returning home walking along the highway around 7:00am. All of a sudden, the Dhaka-bound lorry from Chattogram veered off the road and knocked them from behind. In an attempt to gain control over the wheels, the driver turned right and rammed a van leaving its puller Kazi Rafiqul Islam, 60, a resident of Kashimpur village, dead on the spot, the witnesses further said. Of the pedestrians, Matin died on the spot and Ali on the way to Comilla Medical College Hospital, police said. Quoting locals, Md Saiful Islam, son of Ali, said the driver seemed drowsy when the accident occurred. Inspector Monirul Islam, in-charge of Eliotganj highway police outpost, said they arrested the driver, Dudu Mia, 55, of Charkagoria of Satkania, Chattogram, and seized the lorry. A case was filed with Chandina police in this regard. ",None,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/accident_2_26.jpg?itok=3AGsJ1uD&c=fbd851d5251cd72546ed6183ab0b9ce4
48,The Daily Star,,,,,4,,,,https://www.thedailystar.net/country/road-accident-in-tangail-dhamrai-kill-4-1706164,"Road crashes kill 4 in Tangail, Dhamrai","05:28 PM, February 23, 2019 / LAST MODIFIED: 07:32 PM, February 23, 2019","Four people, including a rights activist, were killed and 26 others injured in separate road accidents in Tangail and Dhamrai upazila of Dhaka today. In Tangail, a microbus hit a vehicle parked beside Bangabandhu Bridge east link road in Hatia area of Kalihati upazila around 2:30am, our Tangail correspondent reports quoting police. The accident left two passengers of the microbus dead on the spot and injured six others, said Mosharaf Hossain, officer-in-charge of Bangabandhu Bridge East Police Station. The deceased were identified as Syed Shahjamal, 42, general secretary of Chapainawabganj unit of Bangladesh Manibadhikar Commission, and the microbus driver Mosharaf Hossain Musa, 35. The injured were admitted to the Tangail General Hospital, said the OC, adding that the accident might have occurred due to dense fog. In Dhamrai, at least two people were killed and 20 others injured after two buses collided head-on on Dhaka-Aricha highway in Dhamrai upazila of Dhaka this afternoon. The identities of the deceased could not be known immediately, our Savar correspondent reports quoting police. The accident took place when Manikganj-bound bus collided with another bus near Bathuli bus-stand area around 2:30pm, leaving two passengers dead and 20 others injured, said Dipok Saha, officer-in-charge of Dhamrai Police Station. The injured were admitted to Dhamrai Upazila Health Complex and local clinics, said the OC. Both vehicles were seized, but drivers and helpers of the buses fled the scene after the accident, he added.  ","Four people, including a rights activist, were killed and 26 others injured in separate road accidents in Tangail and Dhamrai upazila of Dhaka today.",https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/road-web.jpg?itok=gG56PVYB
49,The Daily Star,,,,,5,,,,https://www.thedailystar.net/country/picnic-bus-accident-in-khulna-student-killed-1700572,Five killed in road accidents,"12:00 AM, February 12, 2019 / LAST MODIFIED: 01:38 AM, February 12, 2019","Five persons, including a schoolgirl, were killed in separate road accidents yesterday. In Khulna, an eighth-grader was killed and 20 others injured after a picnic bus skidded off the road and overturned in Dumuria upazila yesterday, UNB reports. The deceased was identified as Meghla, a student of Shyamnagar Girls' High School in Jashore sadar upazila, said Aminul Islam Biplab, officer-in-charge of Dumuria Police Station. Around 11:30am, the bus carrying 60 students, teachers and staff of the school, skidded off the Khulna-Satkhira highway, killing Meghla on spot, the OC said. The injured were taken to Khulna Medical College Hospital. In Munshiganj, three persons, including a couple, were killed and another person was injured in a road accident at Bhaberchar Bus Terminal under Gazaria upazila, reports our correspondent. The deceased were identified as Siddiqur Rahman, 70, a retired officer of Grameen Bank; his wife Jesmine Sultana, 55; and Abdullah Sarkar, 33, the private car driver; said Harun Ur Rashid, officer in charge of Gazaria Police Station. Around 12:30pm, a private car collided with another vehicle on Dhaka-Chattogram highway, killing the three on spot and injuring the couple's domestic help, the OC also said, adding, the bodies were sent for autopsy. In Jamalpur, a biker was killed and his co-rider injured after the bike hit a roadside tree in Madarganj upazila yesterday, reports our correspondent. The deceased is Al Amin, 18, a student of Thakurgaon Polytechnic Institute in Thakurgaon and the injured co-rider is his neighbor Abu Bakkar, 19, said Rafiqul Islam, officer-in-charge of Madarganj Police Station. They were rushed to a local hospital and then referred to Mymensigh Medical College Hospital. Al Amin succumbed to his injuries on the way to MMCH while Abu Bakkar was undergoing treatment at the hospital.  ",None,None
50,The Daily Star,,,,,3,,,,https://www.thedailystar.net/city/bus-hits-motorcycle-on-dhaka-tangail-highway-in-gazipur-3-killed-1700065,3 college boys killed as bus rams bike,"12:00 AM, February 11, 2019 / LAST MODIFIED: 12:43 AM, February 11, 2019","Three teenagers were killed after a bus rammed into their motorbike on Dhaka-Tangail highway in Gazipur's Konabari area yesterday. The dead are Raja Babu, 18, Johnny, 17, and Shakib, 17, class-XII students of Prof Shahjahan Ali College in Kaliakoir upazila of the district. Muktar Hossain, officer-in-charge of Bason Police Station, said a Gazipur-Kaliakoir bus of Palash Paribahan hit the motorbike around 10:00am, leaving Johnny and Shakib dead on the spot and Raja Babu severely injured. Later Raja Babu was taken to a local clinic where doctors declared him dead, the OC added. The OC further said that the three were going to college riding the motorbike but no driving liscence was recovered from the spot. Although there were three people, only one helmet was found on the spot, he added. Police seized the bus and detained its driver after the accident. A case was filed with Bason Police Station in this connection. The bodies were handed over to family members after conducting autopsies at Gazipur Shaheed Tajuddin Ahmad Medical College Hospital. ",None,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/4_22.jpg?itok=Uo93M6o3
51,The Daily Star,,,,,4,,,,https://www.thedailystar.net/country/bus-hits-microbus-in-chattogram-3-passengers-died-1696783,4 die as bus hits microbus in Chattogram,"10:35 AM, February 03, 2019 / LAST MODIFIED: 04:10 PM, February 03, 2019","Four passengers of a microbus were killed and 12 others injured as a bus rammed the vehicle in Patiya upazila of Chattogram this morning. Identities of the deceased could not be known immediately, our Chattogram staff correspondent reports quoting police. Inspector ABM Mizanur Rahman, in-charge of Patiya Highway Police Outpost, said Cox’s Bazar-bound bus from Chattogram hit the oncoming microbus on Chattogram-Cox’s Bazar highway at Bhaiyer Dighi around 8:30am. Both the vehicles skidded off the road and fell on a roadside paddy field following the accident that left three passengers dead on the spot and 13 others injured, said the police official. Of the injured, another died on way to Chattogram Medical College Hospital (CMCH) while the rests were admitted to the hospital, said Assistant Sub-inspector Alauddin Talukdar of CMCH police outpost.  The condition of five injured were stated to be critical, ASI Alauddin said.          ",Four passengers of a microbus were killed and 12 others injured as a bus rammed the vehicle in Patiya upazila of Chattogram this morning.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/photo-web_4.jpg?itok=LpqWc5Fg
52,The Daily Star,,,,,12,,,,https://www.thedailystar.net/country/news/road-crashes-kill-8-cumilla-bangladesh-1689925,Road accidents kill dozen in 24hrs ,"12:00 AM, January 20, 2019 / LAST MODIFIED: 02:43 AM, January 20, 2019","At least 12 people, including two children, were killed in road accidents across the country on Friday and yesterday. Of them, eight people were killed in road accidents on Dhaka-Chattogram highway in Cumilla in one day yesterday. In Eliotganj, two persons were killed after a bus hit a truck parked beside the road 5am, reports our Cumilla correspondent. Fahad Al Razi Faisal, a supervisor of a bus of Green Line Paribahan, died at a local health complex, said Monirul Islam, in-charge of Eliotganj Highway Police Outpost. Anwar Hossain, helper of the bus driver, died on the way to Dhaka Medical College Hospital, he said. In Burichang upazila, two people were killed when a car hit a roadside tree in Korpai area around noon. The deceased are Humayun Kabir, son of Matiur Rahman; and Rahman, son of Ashek Ali from Tangail. In Cumilla Cantonment area, a gypsy woman was killed when a highway police car ran her over around 2pm. Ansari Mondol, 30, wife Sajib Mondol from Bikrampur in Munshiganj, was hit by the vehicle after she got off a microbus. In Gouripur, three people were killed and 20 injured when a Cumilla-bound bus hit a pedestrian and fell into a roadside ditch at Gouripur bus stand at about 2:30pm. Two of the deceased are Nurunessa, 32, from Daudkandi upazila; and Sagar, 28. The identity of the other victim could not be ascertained immediately. Abul Kalam Azad, officer-in-charge of Daudkandi Highway Police said the injured were taken to the upazila health complex. Two people were killed and at least eight others injured in a head-on collision between a bus and a truck on Dhaka-Sylhet highway in Shoshoi area of Bijoynagar upazila yesterday, our Brahmanbaria correspondent reports. Highway police said driver of the “London Express” bus and his helper died on the spot. The injured were admitted to Sylhet Medical College Hospital and other medical facilities in Habiganj's Madhabpur area. A child was killed as a motorbike hit him in Rajapur area of Kotalipara upazila in Gopalganj the same day, our Faridpur correspondent adds. Four-year-old Nirob Mondal, son of Praphulla Mondal from Agailjhara in Barishal, was crossing Kotalipara-Paisarhat road in the area. According to our Mymensingh correspondent, another child was killed as a bus ran him over while the five-year-old was crossing Mymensingh-Haluaghat road in Dhalir Bazar area of Tarakanda upazila yesterday. Oli Ullah, son of Hobiqul Islam from Phulpur upazila, died instantly. Following the accident, locals blocked the road for an hour and vandalised several vehicles, said police.  ",None,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/cumilla-web_0.jpg?itok=qvR2AnKN
53,The Daily Star,,,,,7,,,,https://www.thedailystar.net/india/news/7-killed-school-bus-falls-gorge-indias-himachal-1683340,6 children among 7 killed as school bus falls in gorge in India’s Himachal,"05:57 PM, January 05, 2019 / LAST MODIFIED: 06:03 PM, January 05, 2019","Six children and the driver of their school bus died this morning when the vehicle fell into a gorge in India's Himachal Pradesh, officials said. The incident took place around 8:00am near Kharkoli on Dadahu-Sangrah road in Sirmaur district when the bus skidded off the road. Sirmaur district is around 150 km from the state capital Shimla, reports NDTV. Around 12 children were injured and have been hospitalised, a police official said, adding that the condition of some of them is critical. Himachal Pradesh: 7 dead, including 6 children and 11 injured after a bus fell into a gorge in Sirmaur. pic.twitter.com/EOBLh5r7PW 	— ANI (@ANI) January 5, 2019 Rescue officials were facing difficulties in pulling out the bodies from the badly-mangled bus, according to witnesses. Three of the deceased children and the bus driver died on the spot while three others succumbed to their injuries after they were rushed to hospital, reports NDTV. It appears that the accident happened due to the negligence of the bus driver, identified as Ram Swaroop, 40, police said. ","Six children and the driver of their school bus died this morning when the vehicle fell into a gorge in India's Himachal Pradesh, officials said.",None
54,The Daily Star,,,,,12,,,,https://www.thedailystar.net/country/fatal-road-accident-in-gopalganj-11-dead-1676485,Road crash kills 12 in Gopalganj,"12:00 AM, December 21, 2018 / LAST MODIFIED: 05:57 AM, December 21, 2018","At least 12 people, including four of a family, were killed and 20 others injured when a bus and a human haulier collided head-on in Gopalganj Sadar upazila yesterday. Quoting locals, Monirul Islam, officer-in-charge of Sadar Police Station, said both the vehicles fell into a ditch along the Dhaka-Khulna highway in Horidaspur area following the collision around 5:30pm. Twelve people, including 11 passengers of the vehicles and a passer-by, were killed on the spot, he said, adding the injured were taken to Gopalganj General Hospital.  The deceased were identified as Moriom Akter, 8, daughter of one Al-Amin Sheikh of Sultanshahi village in Gopalganj Sadar, her brother Nayan Sheikh, 11, Al-Amin's mother-in-law Ranu Begum, 45, and his sister-in-law Meghla Akter, 20. The children were returning from their maternal grandfather's house in Madaripur's Songkordi village, said a shell-shocked Al-Amin. The other deceased include Rajib Mollah, 20, driver of the three-wheeler, Saddam Mollah, 25, of Horidaspur village, the passer-by,  Morshed Gazi, 40, of Dumdia village, Jane Alom Sheikh, 37, of Taybaria village, and Joglu Sikder, 35, of Chandadigholia village of the same upazila. Identities of the three others could not be known immediately. Moklesur Rahman, deputy commissioner of Gopalganj, and Mohammad Saidur Rahman, superintendent of police in the district, visited the spot after the accident. ",None,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/capture-web_17.jpg?itok=J1lXK0BN
