Newspaper Name,Published date,Header,Article,Newspaper Link
New Age BD,"Jun 19,2021"," Woman killed, her daughter injured in Dhaka road accident ","The incident took place in front of the Suvastu NAZAR Valley Shopping Mall in Gulshan.The deceased was identified as Sheikh Fauzia Ripa, 42.The injured was a college student at BAF Shaheen College and was identified as Anisha, 18.According to witnesses, the pedestrians took the two to the emergency unit of Dhaka Medical College where the on-duty doctor declared Ripa dead at about 10:00pm.Anisha is currently undergoing treatment in critical condition at the hospital.Bacchu Miah, inspector of Dhaka Medical College police outpost, confirmed the death to UNB.More about:",https://www.newagebd.net/article/141223/woman-killed-her-daughter-injured-in-dhaka-road-accident
New Age BD,"Jun 19,2021",10 killed in road accidents,"New Age correspondent in Chattogram reported that seven people were killed and 17 more injured in three separate road accidents at Karnaphuli and EPZ areas in the district on the day.Five of the deceased are Nurul Abser, 48, son of Nurul Amin of Maliya Para under Patiya upazila, Arefa Begum, 45, Ayesha Akter Mim, 8, Rezaul Karim, 24, and Billal Mia, 60, son Kala Gazi, hailed from Kalamia Bazar area, said officials.Three people including Nurul were killed and 16 others injured at College Bazar of Karnaphuli area around 3:15pm, said Dulal Mahmud, officer-in-charge of Karnaphuli police station.He said the accident occurred when a BRTC bus, a local bus and a CNG-run auto rickshaw collided head-on in the area.Two died on the spot and one died around 8:30pm while undergoing treatment at Chattogram Medical College Hospital, he said.Other injured were also under treatment at the hospital, he added.In a separate incident, three pedestrians - Arefa, Ayesha and Rezaul - were killed when a bus ran over them at Steel Mills Bazar of EPZ area around 12:30pm.Police detained the bus driver Ashik and seized the bus from the spot, EPZ police station inspector (investigation) Riaz Uddin Chowdhury told New Age.In a third incident Billal was killed and another was injured as a motorcycle hit them at Kalamia Bazar in Chattogram city at about 7:20pm, said assistant sub-inspector Shilabrta Barua of CMCH police outpost.New Age correspondent in Cumilla reported that three people were killed and one more was injured in a collision between a bus and a private car on the Dhaka-Cumilla highway at Suagazi U-turn area in Sadar South upazilla.The deceased are Fakhrul Alam Dulal of Hamandi area of Laxmipur, Miraj Hossain of Badda area of Dhaka and Belal Hossain of Taltola area of Khilgaon. Belal was the car driver.Highway police OC Anisur Rahman said the accident took place while a bus of Dhaka-bound Shyamoli Paribahan was taking a U-turn. Two people died on the spot.  Belal, the driver of the private car, died on the way to Dhaka.More about:",https://www.newagebd.net/article/141220/10-killed-in-road-accidents
New Age BD,"Jun 16,2021"," Two people killed, another injured in Madaripur road accident ","The deceased were identified as Abdur Rahman, 22, son of Shahidul Islam of Sadar upazila in Madaripur, and Ismail Hossain, 27, son of Didarul Islam of Shariatpur district.The accident occurred in the afternoon when the bike hit the van from behind at a high speed. The impact of the crash was such that Abdur and Shahidul died on the spot, said Dipankar Roaza, a sub-inspector of the Sadar police station.The injured biker is undergoing treatment at Sadar Hospital. The bodies were sent to the hospital morgue for post-mortem examinations.Road accidents in Bangladesh continue to claim hundreds of lives every year.At least 484 people were killed and 673 others injured in as many as 427 road accidents in January this year.According to NGO Road Safety Foundation, the accident rate increased by 25.58 per cent while fatalities rose by 8.76 per cent in January this year as compared to the same period last year.At least 445 lives were lost in 340 road accidents in January 2020, according to RSF.In a report released in February 2020, the World Bank pointed out that Bangladesh needs to invest an estimated $7.8 billion over the next decade to halve its road crash fatalities.The report attributed the high death rate on Bangladesh’s roads to lack of investments in systemic, targeted, and sustained road safety programmes.More about:",https://www.newagebd.net/article/140907/two-people-killed-another-injured-in-madaripur-road-accident
New Age BD,"Jun 15,2021",Bangladeshi-American lyft driver killed in New York road accident,"The accident took place at the intersection of Fresh Pond Road and Elliott Avenue in Maspeth.Authorities identified the victim as Mohammed Hossain, 47, father of three in Brooklyn, according to local dailies. He had migrated from Bangladesh 12 years ago.Hossain’s devastated friends and relatives visited the scene of the crash Sunday morning, trying to wrap their head around the sudden loss of the beloved family man.Hossain supported his wife and their three children in Borough Park, Brooklyn, by driving for Uber and Lyft.‘It’s only when the person you just talked to a few days ago is joking and you’re not there. It doesn’t make sense,’ his brother-in-law Rezaul Rahman said.Rahman says his sister, Hossain’s wife, was contacted after 8:00am.‘I went in and saw her on the phone. She saw me and started crying. At that point you don’t know how to feel,’ Rahman said.The alleged drunk driver, 22-year-old Erik Chimborazo of Brooklyn, fled the scene but returned a short time later, according to police.He’s been charged with DWI, driving without a license and insurance and vehicular manslaughter, according to the NYPD.The passenger of the Explorer was also injured and taken to a nearby hospital.According to police, Eric Chimborazo was drunk when he drove a red light and Hossain’s car at T-Bone. The surveillance video showed the impact of the crash.Hossain was taken to Waikov Hospital where he was pronounced dead.His passengers were also slightly injured.More about:",https://www.newagebd.net/article/140811/bangladeshi-american-lyft-driver-killed-in-new-york-road-accident
New Age BD,"Jun 13,2021",3 killed in 2 road accidents,"In Manikganj, a motorcyclist and his pillion rider were killed and an ambulance driver was critically injured in a head-on collision of the two vehicles on the Dhaka-Aricha highway, reports our correspondent.The deceased were identified as Abdul Alim, of Pachuria village and Dipak Haldar, of Sakrail village of Shibalay upazila of Manikganj, according to United News of Bangladesh.According to our correspondent, the accident took place at about 9:00am in Muljan-Bagjan area of Manikganj.Golora highway police officer-in-charge Monirul Islam said that following the accident they died on the spot.In Barishal, a motorcyclist was killed on the spot when a truck hit his vehicle from behind on the Barishal-Dhaka highway in Ashokathi area of Gaurnadi upazila.The deceased was identified as Delowar Hossain, 35, son of Wazed Ali Hawladar, of Dakkhin Polashpur area of Barishal sadar upazila. He was a product promotion officer of Holycare Company.Gaurnadi highway police sergeant Mahabub Islam said that the truck hit Delowar’s motorcycle from behind near Ashokathi petrol pump area while he was going to Faridpur from Barishal at about 12:15pm.Later, police arrested the truck driver, Shohag Khan, 32, and seized the truck, he said.More about:",https://www.newagebd.net/article/140572/3-killed-in-2-road-accidents
New Age BD,"Jun 11,2021",23 die as bus overturns in Pakistan,"At least 23 people were killed and several others sustained injures when a bus overturned on the M8 motorway in Khuzdar district in Pakistan and fell into a ravine early Friday, reports the Dawn.Earlier, Khuzdar deputy commissioner retired major Bashir Ahmed confirmed 18 deaths.The deputy commissioner told Dawn.com that the bus was carrying pilgrims from Wadh in Balochistan to Dadu in Sindh.He added that 15 of the victims died on the spot, while three others died from injuries during treatment at a hospital.Levies personnel and rescue workers shifted the bodies and the injured to the hospital.The DC said two brothers and four others of a family were among the deceased, adding that the bodies had been sent to the victims’ hometowns via ambulances after the completion of medico-legal formalities.According to DC Ahmed, the pilgrims were residents of Dadu who were returning home after attending the annual urs at Sufi saint Abdul Qadir Naqshbandi’s shrine in Wadh.He said the bus driver lost control of the vehicle while making a sharp turn, adding that the bus was overcrowded and several pilgrims were sitting on its roof.Ahmed said the bus driver was among the injured and some of them were in critical condition.‘There is not a single passenger who does not have an injury because of the bus accident,’ Ahmed told the AP by phone.Separately, Imam Bakhsh, one of the injured passengers, told AP by phone that the passengers had repeatedly warned the driver to drive more carefully. He blamed the driver for the accident, saying that he was enjoying music and driving recklessly.However, Levies official Imran Ahmad said that while the driver’s negligence was the apparent cause of the accident, officials were still investigating the matter.The accident has come as the grim reminder of a similar incident in 2020, in which five of a family were killed and 24 others were injured as a bus carrying pilgrims overturned near Shah Noorani crossing in Lasbela district, Balochistan.The bus, carrying over 30 pilgrims, was going to the shrine of Hazrat Bilawal Shah Noorani in the Wadh area of Khuzdar district from Karachi. It had also overturned at a sharp turn in the hilly area near Shah Noorani crossing.The bus overturning had left five people dead on the spot.More about:",https://www.newagebd.net/article/140409/23-die-as-bus-overturns-in-pakistan
New Age BD,"Jun 10,2021"," Road accidents kill 1,426 in Q1: police report ","The statistics was prepared on the basis of the first information reports of accidents compiled by the police, said officials of the Bangladesh Road Transport Authority.In the first quarter of the year, the shortest month, February, witnessed the highest death counts with 495 fatal victims in 478 accidents which also injured 423 others.The first month of the year, January, witnessed 482 accidents which killed 454 people and injured 421 others.March witnessed 488 accidents — the highest among the first three months of the year — which killed 477 people and injured 458 others.However, according to the statistics by Road Safety Foundation, both the number of the fatal victims and the injured victims in the first quarter of the year were little higher with 1,514 death counts and 1,930 injured victims in 1,242 accidents.The rights organisation prepared its statistics on the basis of news reports published in different national daily newspapers, online news portals and television channels.This year the government imposed a ban on all public transports on roads, railways and waterways on April 5 to contain Covid-19 and the ban on intra-district public transports was withdrawn on May 6 and on inter-district public transports was withdrawn on May 24.Even during the restrictions on public movement, road accidents occurred frequently amid widespread violations of the restrictions due to lax monitoring.Another report of the foundation showed that 314 people were killed and 291 others injured in 239 road accidents in 14 days before and after the Eid-ul-Fitr between May 7 and May 20.The police statistics show 3,918 fatal victims and 3,826 injured victims in 4,198 accidents in 2020, 4,138 fatal victims and 4,411 injured victims in 4,147 accidents in 2019 and 2,635 fatal victims and 1,920 injured victims in 2,609 accidents in 2018.A little drop in the numbers of accidents, fatalities and injuries in 2020 came due to an around two-month-long ban on movement of public transports on roads, railways and waterways during the general holidays in March, April and May in 2020, said a BRTA senior official.Since 1994, 2019 has been the deadliest year on all accounts — in terms of death counts, injured victims and number of road accidents.The number of fatalities increased by 57.03 per cent, injuries by 129.73 per cent and accidents by 58.94 per cent in 2019 compared with the year 2018, as per the statistics of the Bangladesh Police.More about:",https://www.newagebd.net/article/140340/road-accidents-kill-1426-in-q1-police-report
New Age BD,"Jun 06,2021",Boy killed in Chattogram road accident,"The deceased, Shuvo Das, 18, son of Uchhapanya Das of Cumilla district, used to live in Fateyabad area, said officials.Shuvo was killed on the spot while a truck hit him at about 11:00am at Fateyabad area, said Kamrul Azam, officer-in-charge of Raozan highway police station.The truck was seized but its driver and assistant managed to flee, he said.A case was filed in this connection, the OC added. More about:",https://www.newagebd.net/article/139924/boy-killed-in-chattogram-road-accident
New Age BD,"Jun 05,2021",5 killed in road accidents in three districts,"Two people were killed and six more injured in a head-on collision between two three-wheeler vehicles in Pallibidyut area of Thakurgaon sadar upazila in the afternoon, reports UNB.Police said that one of the deceased was identified as a businessman of Bogura while the identity of another was yet to be known.Eyewitnesses said that one person died on the spot and seven others — all occupants of the two vehicles — sustained injuries.Locals and fire service personnel rushed the victims to Thakurgaon General Hospital, where another died.Md Rakibul Alam, resident medical officer of the hospital, said that condition of two injured was critical.In Gopalganj, two people were killed and three injured as a microbus and a pickup van collided head-on on Dhaka-Khulna highway near Dhusar Bridge  area at Kashiani upazila, reports UNB.The deceased were identified as NRBC Bank microbus driver Zafar Hossain, 42, son of Erfan, of Bakerganj of Barishal and pickup van driver Imran, 35, son of Mosharraf Hossain, of Kathi village of Gopalganj sadar upazila.Abu Naeem, inspector of Bhatiapara outpost of Faridpur’s Bhanga highway police station, said that the microbus on Dhaka-Satkhira route collided head-on with the pickup van coming from opposite direction.Zafar died on the spot and Erfan died at Kashiani Upazila Health Complex while undergoing treatment.A female student of Dhaka Titumir College was killed when she fell off from a motorcycle in Labanchara area adjacent to Rupsha Bridge in Khulna city, reports BSS.The deceased was identified as Meherunnesa Sharli, 21, daughter of late Mohiuzzaman, a resident of Attaka village of Fakirhat upazila of Bagerhat.Police said after the accident she was immediately rushed to a hospital and later shifted to Khulna Medical College Hospital where on-duty doctor declared her dead.The body was handed over to the family members.More about:",https://www.newagebd.net/article/139808/5-killed-in-road-accidents-in-three-districts
New Age BD,"Jun 03,2021",One killed in Dhaka road accident,"The deceased was identified as Abdul Halim Patwari, 55.A bus hit Abdul Halim around 6:30am while he reached Badda for delivering his sweets, leaving him critically injured, said Ahsan Habib, son of the victim.Later, he was taken to Dhaka Medical College and Hospital where doctors declared him dead around 8:30am, said sources at the hospital.Habib said Abdul Halim used to bring sweets from Tongi every day and deliver those to some shops.More about:",https://www.newagebd.net/article/139593/one-killed-in-dhaka-road-accident
New Age BD,"Jun 03,2021",Teenage boy killed in Gazipur road accident,"The deceased has been identified as Maruf, the helper of the pickup van. The vehicle’s driver has been injured in the accident.Witnesses said that the pickup van was travelling at a very high speed and it hit the Mymensingh-bound truck from behind in the Member Bari area of Gazipur Sadar after its driver lost control of the vehicle.The impact of the crash was such that Maruf died on the spot, police said. ‘The severely injured driver has been admitted to Mymensingh Medical College Hospital,’ Md. Kamal Hossain, officer-in-charge of Mauna highway police station, said.The body of the Maruf has been sent to Shaheed Tajuddin Ahmed Medical College Hospital morgue for post-mortem examinations, the OC added.More about:",https://www.newagebd.net/article/139586/teenage-boy-killed-in-gazipur-road-accident
New Age BD,"May 30,2021",Bangladeshi expatriate in Saudi Arabia killed in road accident,"The victim was identified as Abu Yusuf, 30, son of Nurul Islam of village Majhigachha of Kachua upazila, Chandpur.Yousuf, who went to Saudi Arabia three years back, was crushed under the wheels of a covered van, said his brother Md Al Amin.‘Just two hours before his death, Yusuf had spoken to us over phone saying that he bought some gifts for the family,’ Al Amin said.Local UP chairman Ishaque Shikder said that they would provide all the necessary assistance in bringing Yusuf’s body back home.More about:",https://www.newagebd.net/article/139213/bangladeshi-expatriate-in-saudi-arabia-killed-in-road-accident
New Age BD,"May 28,2021",7 killed in road accidents,"Bangladesh Sangbad Sangstha reported that three people died on the spot and five others got injured in a head-on collision between a bus and an auto-rickshaw on the Bhola-Charfashion road at Ginger Haat under Bhola Sadar upazila.The deceased were Aziz, 40, Miraj, 30, and Shohag, 12.Officer-in-Charge of Bhala model police station Md Enayet Hossain said that the auto-rickshaw collided head-on with the bus on the Bhola-Charfashion route at about 3:00pm.The injured were sent to Bhola General Hospital while three critically-injured were referred to Barisal Sher-e-Bangla Medical College Hospital, the officer said.Bhola General Hospital supervisor and doctor Md Sirajuddin said that the bodies were kept at the hospital for autopsy.BSS also reported that two motorcyclists were killed and two others received injuries in separate accidents on the Mayor Mohammed Hanif Flyover in the capital.Tipu, 20, died on the spot as his motocycle skidded off the road at about 6:00am, said inspector Mohammad Bachchu Mia, in-charge of Dhaka Medical College Hospital police outpost.Another motorcyclist Masud, 25, was killed when a truck hit him on the flyover at Kajla, Bachchu also said.The injured, Shaheen, 18, and Nayeem, 20, were undergoing treatment.BSS also reported that a local Awami League leader died on the spot as a pickup van hit his motorcycle on the Bhabaniganj-Tiwariganj road at Stiller Pool under Laxmipur Sadar upazila.The deceased was Abdus Sattar, 47, forest and environment secretary of AL Tiwariganj union.Sub-inspector Yakub Ali of Laxmipur Sadar police said they seized the pickup van but its driver fled away and a case was lodged.New Age correspondent in Gazipur reported that a buying house officer was killed on the Dhaka-Mymensingh national highway in front of the Boardbazar Central Jame mosque in the district when a bus hit him.The deceased is Kazi Anisur Rahman alias Ishaq, 55, from Atpara under Noria police station in Shariatpur.Sub-inspector of Gachha police under Gazipur metropolitan police Kabir Uddin, said that at about 9:00am Ishaq was crossing the highway while a Dhaka-bound Bosumati paribahan bus hit him.  Locals took the critically-injured to the Tayerunnesa Memorial Medical College Hospital, from when he was transferred to Shaheed Ahsan Ullah Master General Hospital in Tongi.He was declared dead there at about 9:30am and his body was sent to Shaheed Tajuddin Ahmad Medical College Hospital morgue for autopsy.Police arrested the bus driver, Md Danius, at the spot of the accident and a case was underway, he added.New Age correspondent in Barishal reported that about 20 people were injured when a bus overturned and fell into a roadside ditch at Boiragi Bari under Barishal Sadar upazila.The Hawladar Paribahan bus was going to Charkaowa stand under Barishal Sadar upazila from Goma under Bakerganj upazila with around 50 passengers.   Anwar Hossain, officer-in-charge of Bondhor police station under Barishal metropolitan police, said that the bus fell into a roadside ditch when the driver was trying to give side to an engine-driven vehicle.Locals took the 20 injured, including driver, his assistant and passengers to the Sher-e-Bangla Medical College Hospital in Barishal.More about:",https://www.newagebd.net/article/138991/7-killed-in-road-accidents
New Age BD,"May 26,2021",Road accident kills 1 in Dhaka,"‘A motorcyclist named Anwar Hossain, 38, was killed in the accident,’ said police inspector of Dhaka Medical College Hospital police outpost Mohammad Bachchu Mia.Pedestrian Mahidul Islam said that the accident took place at about 7:30am and subsequently locals rescued him in critical condition and sent him to hospital, where on duty doctor declared him dead.‘The victim’s motorcycle was not found on the street, we recovered only a helmet with the victim,’ he added.Police said the body was sent to hospital morgue for post-mortem examination but the killer vehicle is yet to be traced.More about:",https://www.newagebd.net/article/138898/road-accident-kills-1-in-dhaka
New Age BD,"May 23,2021",Two people killed in Ctg road accident,"The deceased were identified as Towhidul Islam, 24, and Md Rubel, 23, hailed from Chakaria area in Cox's Bazar, said officials.The accident took place as a mini truck, loaded with betel leaf, hit a truck which was parked beside the road after its driver lost control over gear at about 6:00am in Baraiyarhat area, said Md Firoz Hosaain, officer-in-charge of Zorargonj hHighway police station.The mini truck’s driver Rubel and another person were killed on the spot, he said.The mini truck was going to Dhaka from Cox's Bazar, he said.Highway police and fire service recovered the bodies. Two vehicles were seized and a case was filed over the incident.More about:",https://www.newagebd.net/article/138594/two-people-killed-in-ctg-road-accident
New Age BD,"May 23,2021"," 314 killed, 291 injured in road accidents during Eid: report ","The number of people killed during this Eid increased by 83 per cent compared with the Eid-ul-Fitr in 2020, said the report of Road Safety Foundation.In this Eid, 85 per cent fatal victims were aged between 18 and 65 years while 50.62 per cent accidents involved motorcycles and the highest 42.67 per cent of fatal victims were motorcyclists and their pillion riders.In the same period, three people were killed and seven injured in four waterways accidents and one killed in one railways accident this year.The report was prepared based on news coverage of accidents on seven national daily newspapers, five online news portals and television channels between May 7 and May 20, said a press release of the organisation.According to the report, in 2020 in 14 days before and after the Eid-ul-Fitr, 147 people were killed and 318 others injured in 128 road accidents and during the same period in 2019, 194 people were killed and 402 others injured in 146 accidents.The foundation observed that due to restrictions on inter-district buses the involvement of other transports in fatal accidents increased this year.Reckless behaviour of young riders and pedestrians also increased the number of fatal victims, it also said in the release.Among the fatal road accident victims, motorcyclists and pillion riders were the highest 42.67 per cent, pedestrians 24.2 per cent, transport workers 11.78 per cent, passengers of different three-wheeler vehicles 10.5 per cent, passengers of microbuses and cars 9.23 per cent, passengers of trucks, pickup vans, tractors and trolleys 5.41 per cent, passengers of mechanised rickshaw and vans 5.09 per cent, rickshaw and bicycle riders 1.59 per cent and bus passengers 1.27 per cent.Vehicles lost controls in the 39.74 per cent cases of accidents, vehicles hit pedestrians in 31.79 per cent cases, vehicles collided head-on in 18.41 per cent cases, one vehicle hit another from behind in 7.94 per cent cases and accidents occurred due to other reasons in 2.09 per cent cases, the report showed.The highest number of accidents, 80, occurred in Dhaka division, where the highest number of people, 103, were killed while the lowest number of accidents, 14, took place in Mymensingh where the number of fatal victims also stands the lowest, 16.Accidents were most frequent in the mornings, when 28.87 per cent of all accidents took place.The foundation blamed the overall disorder and mismanagement of the transport sector for the situation and urged the authorities to establish order in the sector.More about:",https://www.newagebd.net/article/138564/314-killed-291-injured-in-road-accidents-during-eid-report
New Age BD,"May 22,2021"," Two killed, five injured in Ctg road accident ","The deceased were identified as Atiqur Rahman, 27, and Abdul Khalek, 50, and the injured are — Mohsin, 23, Sajib, 30, Alam, 30, Nobin, 40, and Babul, 35, said assistant sub-inspector Shilabrta Barua of Chattogram Medical College Hospital police outpost.The injured were undergoing treatment at the hospital, he said.Quoting the injured, ASI Shilabrata Barua said that the accident took place as a truck turned upside down on the road at about 8:00am.More about:",https://www.newagebd.net/article/138480/two-killed-five-injured-in-ctg-road-accident
New Age BD,"May 20,2021"," Three killed, three injured in B’baria road accident ","One of the deceased has been identified as Billal Hossain, 32, the driver of the car and son of Mantu Mia of Debidwar upazila in Cumilla.The accident occurred early this morning. ‘The car hit the stationary goods-laden truck on the high-speed corridor around 6:45am, after its driver lost control of the speeding vehicle,’ said Md Shahjalal Alam, officer-in-charge of highway police.‘The impact of the crash was such that the driver and another passenger of the car died on the spot,’ he said.The other four injured passengers were taken to Madhupur Upazila Health Complex in Habiganj, where doctors declared one of them dead on arrival.The condition of the other three is said to be critical, the officer said.‘A probe has been ordered into the accident,’ he added.More about:",https://www.newagebd.net/article/138282/three-killed-three-injured-in-bbaria-road-accident
New Age BD,"May 19,2021"," 4 killed, 3 injured in Feni road accident ","The deceased were Bibi Hazera Begum, 55, of Chandpur village and Shahidul Islam, 60 of village Sonapur under  Chhagalnaiya in Feni, Md Arifur Rahman, 22, of Katagang under Mirsarai in Chattogram and Nurul Islam, 55, of Amtali under Sakhipur in Tangail, said Chhagalnaiya police station officer-in-charge Md Shahidul Islam.All the victims are passengers of the auto-rickshaw.He said that the accident took place when the Chhagalnaiya bound auto-rickshaw was hit by the pick-up van from the back at Bariapool point at about 12:15pm.Two of the passengers of the auto-rickshaw died on the spot and five others were injured, the OC said.He said that the injured ones were rushed to Feni General Hospital where on-duty doctors declared two more dead, he said.More about:",https://www.newagebd.net/article/138196/4-killed-3-injured-in-feni-road-accident
New Age BD,"May 19,2021"," Three killed, one injured in Tangail road accident ","The deceased were identified as Hasan, 30, a driver, Emon, 25, a driver’s assistant, both residents of Akhaura, and Shameem, 28, of Akkelpur in Joypurhat.Gorai highway police sub-inspector Adam Ali said that the accident took place in the early morning as a Dhaka-bound microbus hit a standing covered van in the area, leaving the driver of the microbus, his assistant and a passenger dead on the spot and another passenger critically injured.Dead bodies were kept at Gorai highway police station and the injured, Meem, was undergoing treatment at Mirzapur Kumudini Medical College Hospital.Shameem and Meem were a couple and they used to work at Akhaura. They went to Akkelpur in Joypurhat on Eid vacation.The twisted microbus had been removed from the spot, the SI added.More about:",https://www.newagebd.net/article/138184/three-killed-one-injured-in-tangail-road-accident
